Species,Min Elevation Bracket,Max Elevation Bracket
Citronella incarum,1000-1099,2000-2099
Citrus X aurantium,200-299,2600-2699
Citrus limon,100-199,2200-2299
Clarisia biflora,100-199,2200-2299
Clarisia racemosa,200-299,2100-2199
Clathrotropis brunnea,100-199,1500-1599
Clavija cauliflora,2100-2199,2400-2499
Clavija mezii,100-199,900-999
Clethra fagifolia,300-399,3400-3499
Clethra fimbriata,1900-1999,3700-3799
Clethra ovalifolia,1700-1799,3300-3399
Clethra revoluta,200-299,3300-3399
Clethra scabra,2100-2199,2100-2199
Clitoria arborea,600-699,800-899
Clusia alata,500-599,3500-3599
Clusia articulata,400-499,3400-3499
Clusia candelabrum,200-299,1400-1499
Clusia colombiana,200-299,2600-2699
Clusia crenata,900-999,2200-2299
Clusia cuneifolia,800-899,2900-2999
Clusia decussata,300-399,2700-2799
Clusia dixonii,600-699,2600-2699
Clusia ducu,1500-1599,2700-2799
Clusia ducuoides,1300-1399,3300-3399
Clusia elliptica,300-399,3600-3699
Clusia flavida,100-199,2200-2299
Clusia hammeliana,100-199,2200-2299
Clusia haughtii,500-599,1900-1999
Clusia hydrogera,800-899,2600-2699
Clusia inesiana,1200-1299,3000-3099
Clusia lineata,100-199,2500-2599
Clusia minor,100-199,2200-2299
Clusia mocoensis,300-399,2100-2199
Clusia multiflora,700-799,3300-3399
Clusia octandra,300-399,800-899
Clusia palmicida,100-199,2300-2399
Clusia penduliflora,200-299,2400-2499
Clusia pentandra,1000-1099,2000-2099
Clusia schomburgkiana,200-299,2800-2899
Clusia sphaerocarpa,1300-1399,1300-1399
Clusia thurifera,1400-1499,3100-3199
Clusia trochiformis,1300-1399,2900-2999
Clusia volubilis,2100-2199,2600-2699
Coccoloba acuminata,200-299,900-999
Coccoloba ascendens,100-199,400-499
Coccoloba coronata,100-199,1400-1499
Coccoloba densifrons,100-199,2400-2499
Coccoloba excelsa,100-199,800-899
Coccoloba lehmannii,300-399,500-599
Coccoloba mollis,100-199,2100-2199
Coccoloba obovata,200-299,1400-1499
Coccoloba padiformis,100-199,800-899
Cochlospermum orinocense,100-199,2000-2099
Coffea arabica,100-199,2900-2999
Compsoneura anoriensis,100-199,600-699
Compsoneura claroensis,200-299,900-999
Compsoneura mutisii,100-199,900-999
Compsoneura rigidifolia,300-399,2400-2499
Conceveiba parvifolia,300-399,1600-1699
Conceveiba pleiostemona,100-199,1800-1899
Conceveiba terminalis,400-499,800-899
Condaminea corymbosa,200-299,3000-3099
Connarus panamensis,100-199,3200-3299
Copaifera canime,100-199,300-399
Copaifera officinalis,100-199,200-299
Cordia alliodora,200-299,2200-2299
Cordia bicolor,100-199,1700-1799
Cordia bogotensis,200-299,2600-2699
Cordia dwyeri,700-799,2700-2799
Cordia nodosa,100-199,1400-1499
Cordia panamensis,100-199,1800-1899
Cordiera myrciifolia,200-299,1100-1199
Cornus peruviana,500-599,2600-2699
Cornutia pyramidata,300-399,800-899
Cosmibuena grandiflora,300-399,2600-2699
Couma macrocarpa,100-199,800-899
Couratari guianensis,100-199,900-999
Couroupita guianensis,100-199,900-999
Coussapoa contorta,800-899,1700-1799
Coussapoa crassivenosa,1200-1299,1600-1699
Coussapoa herthae,200-299,1200-1299
Coussapoa villosa,100-199,2000-2099
Coussarea antioquiana,200-299,700-799
Coussarea enneantha,100-199,2000-2099
Coussarea grandifolia,100-199,1600-1699
Coussarea hirticalyx,700-799,700-799
Coussarea klugii,1400-1499,1400-1499
Coussarea latifolia,200-299,300-399
Coussarea macrocalyx,400-499,2100-2199
Coussarea paniculata,100-199,2400-2499
Coutarea hexandra,100-199,3400-3499
Crepidospermum rhoifolium,100-199,1100-1199
Critoniopsis glandulata,1600-1699,3200-3299
Croton argenteus,200-299,200-299
Croton gossypiifolius,200-299,2500-2599
Croton killipianus,100-199,2300-2399
Croton lechleri,500-599,500-599
Croton mutisianus,900-999,3400-3499
Croton niveus,2200-2299,2200-2299
Croton sampatik,400-499,400-499
Croton schiedeanus,100-199,1200-1299
Croton smithianus,500-599,2700-2799
Cuatresia cuspidata,1600-1699,2200-2299
Cuatresia garciae,1300-1399,1700-1799
Cuatresia riparia,400-499,2500-2599
Cupania americana,100-199,2500-2599
Cupania cinerea,100-199,2200-2299
Cupania latifolia,100-199,2300-2399
Cupania livida,200-299,2400-2499
Cupania rubiginosa,200-299,400-499
Cupania scrobiculata,100-199,2000-2099
Curatella americana,100-199,2000-2099
Cyathea andina,300-399,3200-3299
Cyathea austropallescens,2200-2299,2200-2299
Cyathea bipinnatifida,1200-1299,2100-2199
Cyathea brunnescens,100-199,1700-1799
Cyathea caracasana,1200-1299,3100-3199
Cyathea conjugata,1200-1299,2500-2599
Cyathea delgadii,1000-1099,2900-2999
Cyathea divergens,500-599,2600-2699
Cyathea frondosa,2700-2799,3100-3199
Cyathea fulva,1000-1099,2800-2899
Cyathea kalbreyeri,500-599,1800-1899
Cyathea lechleri,2400-2499,2900-2999
Cyathea lindeniana,1300-1399,2400-2499
Cyathea meridensis,600-699,3100-3199
Cyathea multiflora,400-499,2100-2199
Cyathea nigripes,1300-1399,1900-1999
Cyathea pallescens,1800-1899,3100-3199
Cyathea pauciflora,800-899,3300-3399
Cyathea pilosissima,800-899,2000-2099
Cyathea planadae,1800-1899,1800-1899
Cyathea pungens,100-199,1600-1699
Cyathea squamipes,200-299,3000-3099
Cyathea straminea,2700-2799,3000-3099
Cyathea suprastrigosa,2600-2699,3000-3099
Cybianthus humilis,1200-1299,2700-2799
Cybianthus iteoides,1700-1799,3400-3499
Cybianthus laurifolius,800-899,3500-3599
Cybianthus marginatus,900-999,3600-3699
Cybianthus pastensis,1300-1399,3400-3499
Cybianthus poeppigii,400-499,2700-2799
Cybianthus schlimii,100-199,2000-2099
Cybianthus venezuelanus,100-199,2600-2699
Cymbopetalum sanchezii,300-399,400-499
Cynometra bauhiniifolia,100-199,400-499
Cynophalla flexuosa,100-199,2200-2299
Dacryodes acuptipyrena,1100-1199,1100-1199
Dacryodes belemensis,300-399,1000-1099
Dacryodes peruviana,300-399,1100-1199
Delostoma integrifolium,1500-1599,3200-3299
Dendrobangia boliviana,200-299,1600-1699
Dendropanax arboreus,100-199,2500-2599
Dendropanax caucanus,100-199,2700-2799
Dendropanax cuneatus,1700-1799,1800-1899
Dendropanax macrophyllus,900-999,2500-2599
Dialium guianense,100-199,1000-1099
Dicksonia karsteniana,2400-2499,2800-2899
Dicksonia sellowiana,900-999,3500-3599
Dictyocaryum lamarckianum,100-199,2100-2199
Dieffenbachia seguine,200-299,2200-2299
Dilodendron costaricense,200-299,1500-1599
Dimorphandra macrostachya,300-399,600-699
Dioicodendron dioicum,100-199,2900-2999
Diospyros artanthifolia,100-199,1100-1199
Discophora guianensis,100-199,1700-1799
Doliocarpus dentatus,100-199,1000-1099
Drimys granadensis,1600-1699,3600-3699
Duguetia antioquensis,100-199,1200-1299
Duguetia caniflora,600-699,600-699
Duguetia colombiana,300-399,400-499
Duguetia gentryi,100-199,300-399
Duguetia hadrantha,200-299,200-299
Dunalia solanacea,1000-1099,3200-3299
Duroia hirsuta,100-199,1400-1499
Dussia lehmannii,200-299,2300-2399
Dussia macroprophyllata,200-299,2600-2699
Dussia tessmannii,1300-1399,1400-1499
Dystovomita paniculata,1100-1199,1700-1799
Ecclinusa lanceolata,100-199,500-599
Ecclinusa ramiflora,100-199,800-899
Elaeagia ecuadorensis,2400-2499,2400-2499
Elaeagia karstenii,300-399,2600-2699
Elaeagia mariae,900-999,2800-2899
Elaeagia myriantha,600-699,2100-2199
Elaeagia pastoensis,900-999,2300-2399
Elaeagia utilis,500-599,2500-2599
Endlicheria formosa,1800-1899,2500-2599
Endlicheria gracilis,200-299,400-499
Endlicheria griseo-sericea,1300-1399,2100-2199
Endlicheria griseosericea,1300-1399,2100-2199
Endlicheria metallica,600-699,2000-2099
Endlicheria pyriformis,300-399,1800-1899
Endlicheria sericea,200-299,1400-1499
Endlicheria tschudyana,700-799,800-899
Entada gigas,100-199,1500-1599
Enterolobium cyclocarpum,200-299,2000-2099
Enterolobium schomburgkii,200-299,900-999
Eriotheca globosa,100-199,1000-1099
Erythrina berteroana,200-299,1600-1699
Erythrina edulis,200-299,2800-2899
Erythrina poeppigiana,200-299,2500-2599
Erythroxylum citrifolium,100-199,2400-2499
Erythroxylum gracilipes,100-199,2100-2199
Erythroxylum havanense,100-199,300-399
Erythroxylum hondense,100-199,1000-1099
Erythroxylum macrophyllum,100-199,2300-2399
Erythroxylum oxycarpum,300-399,900-999
Escallonia myrtilloides,300-399,3900-3999
Escallonia paniculata,200-299,3400-3499
Escallonia pendula,400-499,3100-3199
Eschweilera albiflora,200-299,1200-1299
Eschweilera antioquensis,300-399,2700-2799
Eschweilera bogotensis,300-399,1900-1999
Eschweilera bracteosa,1000-1099,1000-1099
Eschweilera caudiculata,1300-1399,1800-1899
Eschweilera coriacea,100-199,1700-1799
Eschweilera microcalyx,500-599,700-799
Eschweilera panamensis,1700-1799,2300-2399
Eschweilera sessilis,300-399,2100-2199
Eschweilera tenax,2200-2299,2200-2299
Eugenia anastomosans,700-799,700-799
Eugenia biflora,100-199,2100-2199
Eugenia dittocrepis,400-499,2000-2099
Eugenia egensis,100-199,900-999
Eugenia feijoi,200-299,800-899
Eugenia florida,100-199,2200-2299
Eugenia limbosa,300-399,2000-2099
Eugenia oerstediana,200-299,1300-1399
Eugenia rhombea,200-299,200-299
Eugenia tamaensis,1600-1699,2100-2199
Eugenia uniflora,900-999,1500-1599
Euphorbia arenaria,200-299,2300-2399
Euplassa duquei,2300-2399,2300-2399
Euterpe precatoria,100-199,2000-2099
Faramea anisocalyx,2000-2099,2100-2199
Faramea calyptrata,800-899,800-899
Faramea capillipes,100-199,900-999
Faramea cuspidata,500-599,2600-2699
Faramea eurycarpa,300-399,2600-2699
Faramea fragrans,100-199,2000-2099
Faramea jasminoides,400-499,3100-3199
Faramea multiflora,100-199,2100-2199
Faramea oblongifolia,900-999,3000-3099
Faramea occidentalis,100-199,2600-2699
Faramea parvibractea,800-899,800-899
Faramea quinqueflora,200-299,2000-2099
Ferdinandusa loretensis,1100-1199,1100-1199
Ficus americana,100-199,3000-3099
Ficus apollinaris,400-499,2000-2099
Ficus brevibracteata,300-399,2300-2399
Ficus carchiana,2000-2099,2000-2099
Ficus cervantesiana,1700-1799,2300-2399
Ficus citrifolia,200-299,3400-3499
Ficus coerulescens,500-599,500-599
Ficus crassiuscula,1300-1399,2400-2499
Ficus crocata,800-899,2000-2099
Ficus cuatrecasana,100-199,2400-2499
Ficus cuatrecasasiana,400-499,2300-2399
Ficus donnell-smithii,100-199,3500-3599
Ficus dulciaria,2000-2099,2900-2999
Ficus eliadis,300-399,300-399
Ficus eximia,200-299,1400-1499
Ficus gigantosyce,200-299,2900-2999
Ficus gomelleira,300-399,700-799
Ficus guianensis,100-199,2500-2599
Ficus hartwegii,100-199,2900-2999
Ficus insipida,100-199,2600-2699
Ficus krukovii,400-499,400-499
Ficus lacunata,1100-1199,2000-2099
Ficus macbridei,100-199,1700-1799
Ficus mathewsii,100-199,1700-1799
Ficus maxima,100-199,3500-3599
Ficus mutisii,600-699,2600-2699
Ficus obtusifolia,100-199,1400-1499
Ficus pallida,200-299,2100-2199
Ficus paraensis,100-199,1700-1799
Ficus pertusa,100-199,1600-1699
Ficus popenoei,100-199,300-399
Ficus schippii,200-299,1800-1899
Ficus tonduzii,100-199,2700-2799
Ficus tovarensis,1700-1799,2300-2399
Ficus trianae,200-299,1000-1099
Ficus trigona,200-299,1200-1299
Ficus velutina,400-499,2300-2399
Frangula goudotiana,1400-1499,3500-3599
Frangula granulosa,1400-1499,2300-2399
Frangula sphaerosperma,100-199,3400-3499
Freziera candicans,1800-1899,3200-3299
Freziera canescens,2200-2299,3100-3199
Freziera chrysophylla,1900-1999,3400-3499
Freziera karsteniana,1400-1499,3100-3199
Freziera punctata,2500-2599,3200-3299
Freziera reticulata,2000-2099,3500-3599
Freziera verrucosa,1400-1499,3600-3699
Fusaea longifolia,100-199,500-599
Gaiadendron punctatum,1300-1399,3700-3799
Garcinia intermedia,400-499,2100-2199
Garcinia macrophylla,400-499,2200-2299
Garcinia madruno,100-199,2500-2599
Geissanthus ambigua,1200-1299,2000-2099
Geissanthus andinus,1800-1899,3500-3599
Alsophila cuspidata,300-399,2000-2099
Alsophila engelii,1300-1399,2900-2999
Alsophila erinacea,700-799,2200-2299
Alsophila incana,1300-1399,1900-1999
Alzatea verticillata,800-899,2400-2499
Amaioua guianensis,100-199,1700-1799
Ampelocera edentula,200-299,400-499
Ampelocera longissima,100-199,400-499
Ampelocera macrocarpa,200-299,700-799
Amphirrhox longifolia,100-199,500-599
Amyris ignea,1200-1299,1200-1299
Amyris pinnata,200-299,1400-1499
Amyris sylvatica,200-299,1300-1399
Anacardium excelsum,100-199,2500-2599
Anacardium giganteum,200-299,300-399
Anacardium occidentale,100-199,1400-1499
Anadenanthera colubrina,2200-2299,2200-2299
Anadenanthera columbrina,2200-2299,2200-2299
Anaxagorea brevipes,100-199,500-599
Andira chigorodensis,1000-1099,1900-1999
Andira inermis,100-199,2100-2199
Andira surinamensis,100-199,800-899
Andira taurotesticulata,300-399,2000-2099
Aniba canelilla,200-299,800-899
Aniba coto,200-299,2100-2199
Aniba hostmanniana,400-499,500-599
Aniba muca,200-299,2400-2499
Aniba panurensis,200-299,2200-2299
Aniba perutilis,200-299,3100-3199
Aniba puchury-minor,200-299,3600-3699
Aniba riparia,500-599,1800-1899
Aniba robusta,400-499,2500-2599
Annona amazonica,500-599,1100-1199
Annona cherimola,400-499,2400-2499
Annona cuspidata,100-199,100-199
Geissanthus betancurii,1600-1699,3000-3099
Geissanthus bogotensis,1200-1299,3400-3499
Geissanthus ecuadorensis,2700-2799,2700-2799
Geissanthus fragrans,1800-1899,2400-2499
Geissanthus longistamineus,1300-1399,2000-2099
Geissanthus occidentalis,1600-1699,3400-3499
Genipa americana,100-199,1800-1899
Geonoma deversa,100-199,1400-1499
Geonoma orbignyana,100-199,3200-3299
Geonoma undata,600-699,3200-3299
Gloeospermum longifolium,100-199,1400-1499
Gloeospermum sphaerocarpum,200-299,2100-2199
Glossoloma tetragonoides,1100-1199,2800-2899
Godmania aesculifolia,200-299,3300-3399
Gonzalagunia cornifolia,100-199,3200-3299
Gonzalagunia dicocca,200-299,1600-1699
Gordonia fruticosa,600-699,3600-3699
Gordonia robusta,1400-1499,3100-3199
Goupia glabra,100-199,900-999
Graffenrieda cucullata,400-499,1700-1799
Graffenrieda emarginata,1700-1799,3400-3499
Graffenrieda galeottii,400-499,1700-1799
Graffenrieda gracilis,200-299,1800-1899
Graffenrieda intermedia,800-899,1400-1499
Graffenrieda latifolia,700-799,2800-2899
Graffenrieda micrantha,500-599,800-899
Graffenrieda santamartensis,1400-1499,2100-2199
Grias haughtii,100-199,600-699
Guapira costaricana,200-299,1700-1799
Guapira pubescens,100-199,1200-1299
Guarea cartaguenya,600-699,700-799
Guarea glabra,100-199,2200-2299
Guarea grandifolia,300-399,2500-2599
Guarea guidonia,100-199,2300-2399
Guarea kunthiana,100-199,3100-3199
Guarea macrophylla,300-399,1400-1499
Guarea pterorhachis,300-399,1100-1199
Guarea purusana,1000-1099,1000-1099
Guarea pyriformis,300-399,700-799
Guarea silvatica,400-499,400-499
Guatteria aberrans,100-199,900-999
Guatteria amplifolia,300-399,2100-2199
Guatteria asplundiana,300-399,2200-2299
Guatteria blepharophylla,100-199,1800-1899
Guatteria cargadero,100-199,2300-2399
Guatteria cestrifolia,100-199,1800-1899
Guatteria columbiana,100-199,1800-1899
Guatteria glauca,200-299,1800-1899
Guatteria goudotiana,200-299,2500-2599
Guatteria hirsuta,100-199,2200-2299
Guatteria hyposericea,100-199,100-199
Guatteria laurina,700-799,2500-2599
Guatteria megalophylla,600-699,1600-1699
Guatteria pittieri,300-399,2000-2099
Guatteria punctata,100-199,2200-2299
Guatteria recurvisepala,100-199,1800-1899
Guatteria schomburgkiana,200-299,800-899
Guazuma ulmifolia,100-199,3500-3599
Guettarda aromatica,200-299,2000-2099
Guettarda crispiflora,400-499,3000-3099
Guettarda dependens,1300-1399,2100-2199
Guettarda malacophylla,200-299,600-699
Guettarda roupalifolia,500-599,2200-2299
Guettarda sanblasensis,400-499,400-499
Guettarda tournefortiopsis,1700-1799,3000-3099
Gustavia dubia,100-199,900-999
Gustavia hexapetala,100-199,1000-1099
Gustavia nana,100-199,600-699
Gustavia poeppigiana,100-199,400-499
Gustavia romeroi,100-199,800-899
Gustavia speciosa,100-199,1400-1499
Gustavia superba,100-199,1600-1699
Gyrocarpus americanus,100-199,1300-1399
Handroanthus chrysanthus,100-199,2400-2499
Handroanthus impetiginosus,300-399,1400-1499
Handroanthus obscurus,100-199,200-299
Handroanthus ochraceus,200-299,2300-2399
Handroanthus serratifolius,200-299,900-999
Hasseltia floribunda,100-199,2100-2199
Hasseltia lateriflora,1600-1699,2100-2199
Haydenoxylon gentryi,300-399,2000-2099
Hebeclinium phoenicticum,1600-1699,3000-3099
Hebepetalum humiriifolium,1000-1099,1000-1099
Hedyosmum angustifolium,3300-3399,3400-3499
Hedyosmum bonplandianum,500-599,3300-3399
Hedyosmum crenatum,1800-1899,3400-3499
Hedyosmum cuatrecazanum,1800-1899,3500-3599
Hedyosmum cumbalense,1900-1999,3700-3799
Hedyosmum gentryi,1300-1399,2400-2499
Hedyosmum goudotianum,1100-1199,3400-3499
Hedyosmum luteynii,3100-3199,3100-3199
Hedyosmum maximum,1400-1499,1400-1499
Hedyosmum parvifolium,2400-2499,3500-3599
Hedyosmum racemosum,500-599,3500-3599
Hedyosmum scaberrimum,100-199,1900-1999
Hedyosmum scabrum,3100-3199,3100-3199
Hedyosmum sprucei,1400-1499,2000-2099
Hedyosmum translucidum,1600-1699,3200-3299
Heisteria acuminata,100-199,3200-3299
Heisteria latifolia,300-399,1500-1599
Heisteria nitida,900-999,900-999
Heliconia nigripraefixa,100-199,1000-1099
Helicostylis scabra,200-299,200-299
Helicostylis tomentosa,100-199,1200-1299
Helicostylis tovarensis,600-699,2300-2399
Helicteres baruensis,300-399,2200-2299
Heliocarpus americanus,100-199,3000-3099
Henriettea fissanthera,100-199,1800-1899
Henriettea trachyphylla,1200-1299,2900-2999
Henriettea verrucosa,400-499,1800-1899
Hernandia didymantha,300-399,300-399
Herrania balaensis,100-199,100-199
Herrania laciniifolia,300-399,600-699
Herrania purpurea,300-399,500-599
Hesperomeles ferruginea,1900-1999,4000-4099
Hesperomeles goudotiana,2400-2499,3600-3699
Hesperomeles obtusifolia,400-499,3800-3899
Heteropterys laurifolia,400-499,700-799
Hevea guianensis,100-199,3100-3199
Hieronyma alchorneoides,100-199,2500-2599
Hieronyma antioquensis,1800-1899,2600-2699
Hieronyma asperifolia,1600-1699,2100-2199
Hieronyma duquei,1200-1299,2400-2499
Hieronyma fendleri,100-199,3100-3199
Hieronyma huilensis,200-299,2700-2799
Hieronyma macrocarpa,1700-1799,2800-2899
Hieronyma oblonga,100-199,2700-2799
Hieronyma rufa,2900-2999,3300-3399
Hieronyma scabrida,1400-1499,2700-2799
Hillia parasitica,1300-1399,2800-2899
Himatanthus articulatus,100-199,1200-1299
Hippotis albiflora,200-299,2000-2099
Hippotis brevipes,200-299,2000-2099
Hirtella bicornis,300-399,700-799
Hirtella eriandra,500-599,500-599
Hirtella mutisii,100-199,1700-1799
Hirtella pilosissima,200-299,200-299
Hirtella racemosa,100-199,800-899
Hirtella triandra,100-199,1400-1499
Hirtella tubiflora,400-499,1400-1499
Hoffmannia longipetiolata,100-199,2500-2599
Hortia brasiliana,400-499,1600-1699
Huberodendron patinoi,100-199,1100-1199
Huertea glandulosa,2000-2099,2000-2099
Huertea granadina,500-599,1500-1599
Humiriastrum colombianum,100-199,600-699
Hura crepitans,100-199,1600-1699
Hymenaea courbaril,100-199,1500-1599
Hymenaea oblongifolia,300-399,600-699
Hymenopus heteromorphus,200-299,1200-1299
Hyospathe elegans,100-199,1600-1699
Hyptidendron arboreum,300-399,1800-1899
Ilex andicola,2500-2599,2500-2599
Ilex colombiana,3400-3499,3400-3499
Ilex danielis,1700-1799,2800-2899
Ilex goudotii,1600-1699,2500-2599
Ilex guayusa,1000-1099,1500-1599
Ilex karstenii,2900-2999,3300-3399
Ilex laurina,600-699,3300-3399
Ilex myricoides,2000-2099,3600-3699
Ilex nervosa,1700-1799,3600-3699
Ilex pernervata,1700-1799,3600-3699
Ilex pustulosa,2200-2299,2700-2799
Ilex sessiliflora,2200-2299,2700-2799
Inga acreana,200-299,1300-1399
Inga acrocephala,300-399,2800-2899
Inga acuminata,100-199,2100-2199
Inga alba,100-199,1500-1599
Inga bourgonii,100-199,700-799
Inga capitata,200-299,600-699
Inga chartacea,200-299,1200-1299
Inga cinnamomea,600-699,1700-1799
Inga cocleensis,100-199,2200-2299
Inga coruscans,100-199,1900-1999
Inga densiflora,400-499,2900-2999
Inga edulis,100-199,2100-2199
Inga fendleriana,400-499,2000-2099
Inga heterophylla,100-199,1500-1599
Inga lallensis,1700-1799,2800-2899
Inga laurina,100-199,2200-2299
Inga lopadadenia,600-699,1100-1199
Inga macrophylla,100-199,1700-1799
Inga marginata,100-199,2700-2799
Inga mucuna,400-499,2700-2799
Inga multijuga,400-499,2500-2599
Inga multinervis,900-999,900-999
Inga nobilis,100-199,2500-2599
Inga oerstediana,100-199,2300-2399
Inga pezizifera,100-199,1800-1899
Inga pruriens,500-599,500-599
Inga punctata,100-199,2800-2899
Inga ruiziana,100-199,2100-2199
Inga sapindoides,100-199,2400-2499
Inga sertulifera,100-199,1400-1499
Inga setosa,600-699,2100-2199
Inga sierrae,900-999,2500-2599
Inga spectabilis,100-199,1800-1899
Inga stenoptera,200-299,2400-2499
Inga striata,600-699,2000-2099
Inga thibaudiana,100-199,1400-1499
Inga tomentosa,2300-2399,2300-2399
Inga umbellifera,100-199,2800-2899
Inga velutina,300-399,2200-2299
Inga venusta,100-199,1800-1899
Inga vera,100-199,2300-2399
Inga villosissima,900-999,2600-2699
Iriartea deltoidea,200-299,1400-1499
Iryanthera hostmannii,100-199,900-999
Iryanthera juruensis,200-299,300-399
Iryanthera paraensis,100-199,300-399
Iryanthera ulei,100-199,1200-1299
Isertia laevis,100-199,2200-2299
Isidodendron tripterocarpum,100-199,200-299
Jacaranda caucana,100-199,2100-2199
Jacaranda copaia,100-199,1400-1499
Jacaranda glabra,1000-1099,1000-1099
Jacaranda hesperia,100-199,1200-1299
Jacaranda mimosifolia,1400-1499,2000-2099
Jacaranda obtusifolia,100-199,800-899
Jacaratia chocoensis,1400-1499,1400-1499
Jacaratia digitata,400-499,1000-1099
Joosia umbellifera,700-799,1600-1699
Juglans neotropica,800-899,3500-3599
Klarobelia anomala,100-199,400-499
Lacistema aggregatum,100-199,2100-2199
Lacistema nena,1000-1099,1000-1099
Lacmellea edulis,100-199,1500-1599
Lacunaria crenata,300-399,1200-1299
Ladenbergia macrocarpa,400-499,3200-3299
Ladenbergia macrophylla,2000-2099,2200-2299
Ladenbergia magdalenae,100-199,1600-1699
Ladenbergia moritziana,2200-2299,2200-2299
Ladenbergia muzonensis,200-299,1900-1999
Ladenbergia oblongifolia,300-399,3400-3499
Lafoensia acuminata,200-299,2300-2399
Lecointea amazonica,100-199,1100-1199
Lecythis ampla,100-199,900-999
Lecythis mesophylla,100-199,900-999
Lecythis minor,100-199,300-399
Lecythis tuyrana,200-299,700-799
Leonia glycycarpa,200-299,1600-1699
Leonia occidentalis,100-199,600-699
Leonia triandra,100-199,2900-2999
Leucaena trichodes,200-299,400-499
Licania canescens,200-299,400-499
Licania harlingii,200-299,200-299
Licania hypoleuca,100-199,900-999
Licania micrantha,200-299,1000-1099
Licania octandra,200-299,200-299
Licaria applanata,600-699,2300-2399
Licaria canella,200-299,2000-2099
Licaria cannella,200-299,2000-2099
Licaria triandra,300-399,2400-2499
Ligustrum lucidum,1500-1599,1500-1599
Lindackeria laurina,100-199,1100-1199
Lindackeria paludosa,100-199,1900-1999
Lippia americana,500-599,1700-1799
Lippia hirsuta,100-199,3300-3399
Lonchocarpus macrophyllus,100-199,1500-1599
Lonchocarpus sericeus,300-399,1500-1599
Lonchocarpus velutinus,700-799,2700-2799
Lozanella enantiophylla,900-999,3300-3399
Lozania mutisiana,200-299,2900-2999
Luehea seemannii,100-199,2200-2299
Lunania parviflora,100-199,1800-1899
Lycianthes inaequilatera,200-299,2400-2499
Lycianthes pauciflora,100-199,2300-2399
Mabea occidentalis,100-199,2100-2199
Mabea trianae,100-199,700-799
Machaerium acutifolium,200-299,200-299
Machaerium biovulatum,100-199,1400-1499
Machaerium capote,100-199,1200-1299
Machaerium floribundum,200-299,1100-1199
Machaerium hirtum,700-799,1200-1299
Machaerium lanceolatum,100-199,700-799
Machaerium moritzianum,200-299,1400-1499
Machaerium mutisii,100-199,100-199
