Species,Min Elevation Bracket,Max Elevation Bracket
Allophylus loretensis,100-199,800-899
Allophylus pilosus,100-199,2800-2899
Allophylus psilospermus,100-199,3000-3099
Allophylus punctatus,100-199,2000-2099
Alnus acuminata,1500-1599,3900-3999
Chrysophyllum venezuelanense,100-199,2000-2099
Ciliosemina pedunculata,100-199,600-699
Cinchona macrocalyx,2000-2099,3200-3299
Cinchona officinalis,1300-1399,3000-3099
Cinchona pubescens,700-799,3300-3399
Cinchonopsis amazonica,100-199,600-699
Cissus trianae,900-999,2400-2499
Citharexylum gentryi,100-199,300-399
Citharexylum montanum,1500-1599,2900-2999
Citronella incarum,200-299,2900-2999
Citrus X aurantium,100-199,2800-2899
Citrus limon,100-199,2600-2699
Clarisia biflora,100-199,1800-1899
Clarisia racemosa,100-199,1300-1399
Clavija eggersiana,100-199,2000-2099
Clavija laplanadae,2000-2099,2000-2099
Clethra castaneifolia,1300-1399,2100-2199
Clethra crispa,2800-2899,3400-3499
Clethra cuneata,2600-2699,3300-3399
Clethra fagifolia,1000-1099,3000-3099
Clethra ferruginea,1700-1799,2700-2799
Clethra fimbriata,900-999,3400-3499
Clethra obovata,1700-1799,3100-3199
Clethra ovalifolia,1600-1699,3400-3499
Clethra pedicellaris,1400-1499,2500-2599
Clethra revoluta,1200-1299,3200-3299
Clethra scabra,2000-2099,2100-2199
Clitoria arborea,100-199,1300-1399
Clusia alata,1300-1399,3100-3199
Clusia articulata,1200-1299,1200-1299
Clusia candelabrum,N/A,N/A
Clusia crenata,1500-1599,2100-2199
Clusia cuneifolia,700-799,2000-2099
Clusia decussata,100-199,1900-1999
Clusia dixonii,100-199,2400-2499
Clusia ducu,1300-1399,2800-2899
Clusia ducuoides,400-499,3400-3499
Clusia elliptica,1600-1699,3000-3099
Clusia flavida,100-199,2100-2199
Clusia hammeliana,100-199,1300-1399
Clusia haughtii,100-199,1200-1299
Clusia hydrogera,1000-1099,2200-2299
Clusia lineata,100-199,2000-2099
Clusia minor,100-199,2000-2099
Clusia mocoensis,700-799,1900-1999
Clusia multiflora,600-699,3000-3099
Clusia octandra,100-199,1600-1699
Clusia palmicida,100-199,600-699
Clusia pavonii,2500-2599,2500-2599
Clusia penduliflora,100-199,1600-1699
Clusia pentandra,1200-1299,1200-1299
Clusia schomburgkiana,100-199,700-799
Clusia schultesii,200-299,1700-1799
Clusia sphaerocarpa,600-699,3100-3199
Clusia thurifera,900-999,2200-2299
Clusia trochiformis,400-499,1600-1699
Coccoloba acuminata,200-299,200-299
Coccoloba ascendens,100-199,100-199
Coccoloba coronata,100-199,400-499
Coccoloba densifrons,100-199,1200-1299
Coccoloba excelsa,100-199,200-299
Coccoloba lehmannii,100-199,600-699
Coccoloba mollis,100-199,1800-1899
Coccoloba obovata,200-299,1200-1299
Coccoloba padiformis,400-499,400-499
Coccoloba peruviana,200-299,1900-1999
Cochlospermum orinocense,100-199,300-399
Coffea arabica,100-199,2500-2599
Colicodendron scabridum,1100-1199,2500-2599
Compsoneura mutisii,200-299,1500-1599
Conceveiba terminalis,100-199,300-399
Condalia weberbaueri,2000-2099,2000-2099
Condaminea corymbosa,200-299,2500-2599
Cordia alliodora,100-199,2200-2299
Cordia bicolor,N/A,N/A
Cordia bogotensis,700-799,700-799
Cordia dwyeri,100-199,600-699
Cordia lomatoloba,100-199,1000-1099
Cordia lutea,300-399,3100-3199
Cordia nodosa,100-199,1300-1399
Cordia panamensis,100-199,800-899
Cordia trichotoma,100-199,100-199
Cordia ucayaliensis,200-299,1900-1999
Cordiera longicaudata,100-199,100-199
Cordiera myrciifolia,100-199,100-199
Cornus peruviana,1800-1899,3900-3999
Cornutia pyramidata,100-199,1900-1999
Cosmibuena grandiflora,300-399,1300-1399
Couepia bernardii,100-199,100-199
Couma macrocarpa,100-199,600-699
Couratari guianensis,100-199,300-399
Couroupita guianensis,100-199,600-699
Coussapoa contorta,500-599,1500-1599
Coussapoa crassivenosa,100-199,1700-1799
Coussapoa herthae,100-199,1000-1099
Coussapoa villosa,100-199,1900-1999
Coussarea ecuadorensis,300-399,1700-1799
Coussarea hirticalyx,100-199,1100-1199
Coussarea klugii,100-199,1100-1199
Coussarea latifolia,200-299,200-299
Coussarea macrocalyx,300-399,300-399
Coussarea paniculata,100-199,1400-1499
Coussarea tenuiflora,100-199,400-499
Coutarea hexandra,100-199,1500-1599
Crepidospermum rhoifolium,100-199,600-699
Critoniopsis floribunda,1500-1599,3100-3199
Critoniopsis occidentalis,1200-1299,2300-2399
Critoniopsis tungurahuae,1800-1899,2800-2899
Croton floccosus,600-699,2600-2699
Croton glabellus,N/A,N/A
Croton gossypiifolius,1000-1099,1000-1099
Croton killipianus,1300-1399,1300-1399
Croton lechleri,100-199,2300-2399
Croton mutisianus,400-499,2500-2599
Croton rimbachii,1500-1599,2500-2599
Croton sampatik,100-199,900-999
Croton schiedeanus,100-199,1700-1799
Croton smithianus,200-299,200-299
Croton tessmannii,200-299,1200-1299
Croton thurifer,2100-2199,2100-2199
Cuatresia cuspidata,300-399,2000-2099
Cuatresia riparia,100-199,2500-2599
Cupania americana,100-199,2800-2899
Cupania cinerea,100-199,2300-2399
Cupania latifolia,100-199,2300-2399
Cupania livida,200-299,1100-1199
Cupania rufescens,100-199,100-199
Cupania scrobiculata,200-299,400-499
Cyathea andina,200-299,200-299
Cyathea bipinnatifida,500-599,2700-2799
Cyathea brunnescens,700-799,1500-1599
Cyathea caracasana,400-499,3300-3399
Cyathea carolihenrici,2000-2099,2700-2799
Cyathea catacampta,2000-2099,2000-2099
Cyathea conjugata,1200-1299,2400-2499
Cyathea corallifera,3100-3199,3100-3199
Cyathea crenata,900-999,2100-2199
Cyathea cystolepis,2600-2699,2600-2699
Cyathea delgadii,700-799,2800-2899
Cyathea divergens,1400-1499,1400-1499
Cyathea frigida,2500-2599,3400-3499
Cyathea frondosa,2900-2999,3100-3199
Cyathea fulva,1200-1299,3600-3699
Cyathea kalbreyeri,1000-1099,1400-1499
Cyathea lechleri,900-999,2100-2199
Cyathea lindeniana,1800-1899,1800-1899
Cyathea meridensis,1900-1999,3000-3099
Cyathea moranii,2500-2599,2500-2599
Cyathea multiflora,100-199,2000-2099
Cyathea nigripes,500-599,2000-2099
Cyathea obnoxia,1800-1899,2500-2599
Cyathea pallescens,1200-1299,3200-3299
Cyathea pauciflora,900-999,1300-1399
Cyathea pilosissima,100-199,2100-2199
Cyathea planadae,1000-1099,2200-2299
Cyathea pungens,100-199,2100-2199
Cyathea squamipes,900-999,2600-2699
Cyathea straminea,2100-2199,3200-3299
Cyathostegia mathewsii,900-999,2400-2499
Cybianthus fosteri,1500-1599,1500-1599
Cybianthus humilis,100-199,2000-2099
Cybianthus marginatus,900-999,3400-3499
Cybianthus pastensis,1100-1199,3200-3299
Cybianthus peruvianus,100-199,2600-2699
Cybianthus poeppigii,100-199,1600-1699
Cybianthus schlimii,100-199,1800-1899
Cybianthus venezuelanus,100-199,2000-2099
Cynometra bauhiniifolia,100-199,100-199
Cynophalla flexuosa,600-699,1500-1599
Dacryodes acuptipyrena,700-799,700-799
Dacryodes belemensis,400-499,500-599
Dacryodes cupularis,200-299,1500-1599
Dacryodes peruviana,100-199,1500-1599
Daphnopsis equatorialis,400-499,2000-2099
Delostoma integrifolium,1100-1199,3500-3599
Dendrobangia boliviana,100-199,1400-1499
Dendropanax arboreus,100-199,1800-1899
Dendropanax caucanus,100-199,2400-2499
Dendropanax cuneatus,100-199,300-399
Dendropanax macrocarpus,200-299,1000-1099
Dendropanax macrophyllus,1500-1599,2000-2099
Dendropanax umbellatus,100-199,400-499
Dendrophorbium lloense,1500-1599,3700-3799
Dendrophorbium tipocochense,300-399,3700-3799
Deprea subtriflora,3000-3099,3000-3099
Dialium guianense,100-199,500-599
Dicksonia karsteniana,1500-1599,3100-3199
Dicksonia sellowiana,600-699,3300-3399
Dictyocaryum lamarckianum,500-599,1800-1899
Dictyoloma vandellianum,600-699,1000-1099
Dieffenbachia seguine,100-199,2100-2199
Dimorphandra macrostachya,100-199,200-299
Dioicodendron dioicum,1400-1499,3000-3099
Diospyros artanthifolia,100-199,600-699
Diploon cuspidatum,100-199,300-399
Diplotropis martiusii,100-199,300-399
Discophora guianensis,100-199,1000-1099
Doliocarpus dentatus,100-199,2900-2999
Drimys granadensis,1400-1499,3000-3099
Drypetes amazonica,100-199,1200-1299
Duguetia hadrantha,100-199,700-799
Duguetia surinamensis,200-299,400-499
Dunalia solanacea,1300-1399,3200-3299
Duranta serratifolia,2400-2499,3000-3099
Duroia hirsuta,100-199,1200-1299
Duroia laevis,200-299,800-899
Dussia lehmannii,100-199,2300-2399
Dussia macroprophyllata,2000-2099,2000-2099
Dussia tessmannii,100-199,2400-2499
Dystovomita paniculata,400-499,1600-1699
Ecclinusa lanceolata,100-199,500-599
Ecclinusa ramiflora,100-199,400-499
Elaeagia ecuadorensis,1800-1899,2900-2999
Elaeagia karstenii,600-699,2700-2799
Elaeagia mariae,500-599,2100-2199
Elaeagia myriantha,800-899,3100-3199
Elaeagia pastoensis,600-699,2100-2199
Elaeagia utilis,700-799,2600-2699
Elaeoluma glabrescens,100-199,300-399
Endlicheria formosa,100-199,2200-2299
Endlicheria gracilis,100-199,1100-1199
Endlicheria griseo-sericea,200-299,2200-2299
Endlicheria griseosericea,200-299,2200-2299
Endlicheria krukovii,100-199,1000-1099
Endlicheria lorastemon,200-299,1400-1499
Endlicheria macrophylla,100-199,100-199
Endlicheria metallica,200-299,1700-1799
Endlicheria oreocola,1000-1099,2800-2899
Endlicheria pyriformis,100-199,1400-1499
Endlicheria sericea,100-199,2200-2299
Endlicheria tessmannii,100-199,1800-1899
Endlicheria tschudyana,200-299,400-499
Entada gigas,100-199,700-799
Enterolobium cyclocarpum,200-299,500-599
Enterolobium schomburgkii,100-199,200-299
Eriotheca globosa,200-299,200-299
Eriotheca macrophylla,100-199,300-399
Eriotheca ruizii,300-399,1700-1799
Erythrina amazonica,100-199,1000-1099
Erythrina berteroana,2500-2599,2500-2599
Erythrina edulis,100-199,3000-3099
Erythrina poeppigiana,100-199,2000-2099
Erythrina ulei,100-199,1000-1099
Erythrina velutina,400-499,1100-1199
Erythroxylum citrifolium,100-199,2200-2299
Erythroxylum gracilipes,100-199,1400-1499
Erythroxylum macrophyllum,100-199,2200-2299
Erythroxylum squamatum,200-299,2500-2599
Escallonia myrtilloides,1700-1799,3900-3999
Escallonia paniculata,1200-1299,3100-3199
Escallonia pendula,2200-2299,3300-3399
Eschweilera albiflora,100-199,200-299
Eschweilera andina,100-199,2000-2099
Eschweilera antioquensis,400-499,400-499
Eschweilera baguensis,1000-1099,2100-2199
Eschweilera bracteosa,100-199,300-399
Eschweilera caudiculata,300-399,2000-2099
Eschweilera coriacea,100-199,2100-2199
Eschweilera rimbachii,100-199,1200-1299
Eschweilera sessilis,2200-2299,2300-2399
Eschweilera tenax,100-199,100-199
Espostoa lanata,900-999,2100-2199
Eugenia anastomosans,100-199,2000-2099
Eugenia biflora,100-199,1700-1799
Eugenia crassimarginata,500-599,2600-2699
Eugenia dittocrepis,100-199,1000-1099
Eugenia egensis,100-199,2000-2099
Eugenia feijoi,100-199,2000-2099
Eugenia florida,100-199,2400-2499
Eugenia limbosa,200-299,200-299
Eugenia muricata,100-199,1500-1599
Eugenia oerstediana,100-199,1200-1299
Euphorbia arenaria,1300-1399,1300-1399
Euterpe precatoria,100-199,1900-1999
Faramea ampla,900-999,900-999
Faramea anisocalyx,100-199,2800-2899
Faramea bangii,1200-1299,2300-2399
Faramea calyptrata,1400-1499,2300-2399
Faramea candelabrum,2500-2599,2600-2699
Faramea capillipes,100-199,900-999
Faramea eurycarpa,200-299,2300-2399
Faramea exemplaris,300-399,1500-1599
Faramea fragrans,100-199,600-699
Faramea jasminoides,900-999,2600-2699
Faramea langlassei,400-499,2400-2499
Faramea multiflora,100-199,1800-1899
Faramea oblongifolia,300-399,2000-2099
Faramea occidentalis,100-199,800-899
Faramea parvibractea,300-399,1600-1699
Faramea quinqueflora,100-199,2100-2199
Faramea torquata,100-199,1800-1899
Ferdinandusa chlorantha,100-199,2800-2899
Ferdinandusa guainiae,100-199,1600-1699
Ferdinandusa loretensis,100-199,1000-1099
Ficus americana,100-199,2800-2899
Ficus apollinaris,100-199,1000-1099
Ficus brevibracteata,100-199,2000-2099
Ficus carchiana,400-499,600-699
Ficus casapiensis,200-299,300-399
Ficus cervantesiana,100-199,2300-2399
Ficus citrifolia,100-199,2300-2399
Ficus coerulescens,100-199,800-899
Ficus crassiuscula,1500-1599,2300-2399
Ficus crocata,100-199,1000-1099
Ficus cuatrecasana,300-399,2500-2599
Ficus cuatrecasasiana,100-199,2500-2599
Ficus donnell-smithii,100-199,900-999
Ficus dulciaria,2000-2099,2300-2399
Ficus eximia,100-199,100-199
Ficus gigantosyce,900-999,2600-2699
Ficus gomelleira,100-199,900-999
Ficus guianensis,100-199,2700-2799
Ficus hartwegii,1300-1399,2000-2099
Ficus insipida,100-199,2400-2499
Ficus krukovii,100-199,1400-1499
Ficus lacunata,1700-1799,2000-2099
Ficus macbridei,100-199,1300-1399
Ficus maroma,900-999,1600-1699
Ficus mathewsii,100-199,1200-1299
Ficus maxima,100-199,2000-2099
Ficus mutisii,400-499,2000-2099
Ficus obtusifolia,100-199,2000-2099
Ficus paraensis,100-199,1700-1799
Ficus pertusa,100-199,2100-2199
Ficus popenoei,100-199,300-399
Ficus schippii,100-199,2000-2099
Ficus tonduzii,100-199,2200-2299
Ficus trapezicola,300-399,2100-2199
Ficus trianae,700-799,700-799
Ficus trigona,100-199,2100-2199
Frangula granulosa,1600-1699,3000-3099
Frangula sphaerosperma,1400-1499,2200-2299
Freziera canescens,1500-1599,3700-3799
Freziera karsteniana,1700-1799,3000-3099
Freziera reticulata,2000-2099,2800-2899
Freziera verrucosa,700-799,3200-3299
Fusaea longifolia,100-199,500-599
Gaiadendron punctatum,600-699,3700-3799
Gallesia integrifolia,100-199,1100-1199
Garcinia intermedia,100-199,2000-2099
Garcinia macrophylla,100-199,1700-1799
Garcinia madruno,100-199,1500-1599
Geissanthus ambigua,800-899,3200-3299
Geissanthus andinus,1900-1999,3600-3699
Alsophila cuspidata,100-199,2000-2099
Alsophila engelii,1100-1199,2700-2799
Alsophila erinacea,600-699,2600-2699
Alsophila incana,2100-2199,2200-2299
Alzatea verticillata,1200-1299,2200-2299
Amaioua guianensis,100-199,500-599
Amanoa oblongifolia,100-199,300-399
Ampelocera edentula,100-199,1200-1299
Ampelocera longissima,100-199,1200-1299
Ampelocera ruizii,100-199,100-199
Amphirrhox longifolia,100-199,600-699
Anacardium excelsum,100-199,100-199
Anacardium giganteum,200-299,800-899
Anacardium occidentale,100-199,300-399
Anadenanthera colubrina,800-899,2100-2199
Anadenanthera columbrina,800-899,2100-2199
Anaxagorea brevipes,100-199,500-599
Andira inermis,100-199,600-699
Andira multistipula,100-199,500-599
Andira surinamensis,100-199,500-599
Andira taurotesticulata,200-299,200-299
Aniba canelilla,100-199,100-199
Aniba coto,100-199,2200-2299
Aniba hostmanniana,100-199,2100-2199
Aniba muca,100-199,2800-2899
Aniba panurensis,100-199,2000-2099
Aniba perutilis,100-199,2200-2299
Aniba puchury-minor,100-199,600-699
Aniba riparia,100-199,2200-2299
Aniba robusta,400-499,400-499
Annona amazonica,100-199,600-699
Annona ambotay,100-199,1100-1199
Annona andicola,600-699,2000-2099
Annona cherimola,1400-1499,2600-2699
Annona cuspidata,100-199,1200-1299
Annona deceptrix,100-199,600-699
Geissanthus bogotensis,2000-2099,2000-2099
Geissanthus ecuadorensis,1000-1099,3000-3099
Geissanthus longistamineus,100-199,1800-1899
Geissanthus occidentalis,3400-3499,3400-3499
Geissanthus pichinchae,700-799,3100-3199
Geissanthus vanderwerffii,1300-1399,3400-3499
Genipa americana,100-199,2300-2399
Geoffroea spinosa,600-699,1400-1499
Geonoma deversa,100-199,1200-1299
Geonoma orbignyana,100-199,2900-2999
Geonoma undata,200-299,3300-3399
Gloeospermum longifolium,100-199,2200-2299
Gloeospermum sphaerocarpum,100-199,1000-1099
Glossoloma tetragonoides,200-299,2900-2999
Gonzalagunia cornifolia,100-199,1900-1999
Gonzalagunia dicocca,100-199,1000-1099
Gordonia fruticosa,100-199,3200-3299
Goupia glabra,100-199,200-299
Graffenrieda cucullata,700-799,2100-2199
Graffenrieda emarginata,1100-1199,2900-2999
Graffenrieda galeottii,400-499,2100-2199
Graffenrieda gracilis,100-199,1100-1199
Graffenrieda intermedia,100-199,1700-1799
Grias peruviana,100-199,2100-2199
Grosvenoria rimbachii,400-499,3600-3699
Guapira costaricana,100-199,100-199
Guapira noxia,100-199,100-199
Guapira opposita,100-199,400-499
Guarea cartaguenya,100-199,900-999
Guarea glabra,100-199,2000-2099
Guarea gomma,100-199,1000-1099
Guarea grandifolia,100-199,2100-2199
Guarea guidonia,100-199,1900-1999
Guarea kunthiana,100-199,2700-2799
Guarea macrophylla,100-199,1300-1399
Guarea pterorhachis,100-199,1800-1899
Guarea purusana,100-199,1800-1899
Guarea silvatica,100-199,1500-1599
Guarea subandina,1000-1099,2300-2399
Guatteria asplundiana,200-299,2000-2099
Guatteria blepharophylla,100-199,1600-1699
Guatteria boliviana,200-299,1200-1299
Guatteria cargadero,1000-1099,1000-1099
Guatteria duodecima,100-199,1400-1499
Guatteria glauca,1000-1099,2100-2199
Guatteria goudotiana,1200-1299,2000-2099
Guatteria hirsuta,100-199,2000-2099
Guatteria megalophylla,100-199,2100-2199
Guatteria oblongifolia,900-999,2000-2099
Guatteria pichinchae,600-699,1100-1199
Guatteria pittieri,200-299,700-799
Guatteria punctata,100-199,2200-2299
Guatteria recurvisepala,100-199,2700-2799
Guatteria schomburgkiana,100-199,600-699
Guatteria sodiroi,1000-1099,1000-1099
Guatteria venosa,600-699,1600-1699
Guazuma ulmifolia,100-199,1400-1499
Guettarda aromatica,100-199,800-899
Guettarda crispiflora,200-299,2800-2899
Guettarda dependens,400-499,2700-2799
Guettarda sanblasensis,100-199,700-799
Guettarda tournefortiopsis,2900-2999,2900-2999
Gustavia hexapetala,100-199,800-899
Gustavia poeppigiana,200-299,400-499
Gustavia speciosa,500-599,700-799
Gynoxys nitida,3100-3199,3100-3199
Handroanthus chrysanthus,100-199,2400-2499
Handroanthus impetiginosus,2200-2299,2200-2299
Handroanthus obscurus,100-199,300-399
Handroanthus ochraceus,400-499,400-499
Handroanthus serratifolius,100-199,800-899
Hasseltia floribunda,100-199,2200-2299
Hasseltia lateriflora,800-899,800-899
Haydenoxylon gentryi,1000-1099,2400-2499
Hebepetalum humiriifolium,100-199,500-599
Hedyosmum angustifolium,900-999,2600-2699
Hedyosmum anisodorum,800-899,2700-2799
Hedyosmum cuatrecazanum,1500-1599,3100-3199
Hedyosmum cumbalense,2900-2999,3900-3999
Hedyosmum dombeyanum,2600-2699,3000-3099
Hedyosmum goudotianum,1100-1199,2900-2999
Hedyosmum luteynii,1100-1199,3300-3399
Hedyosmum racemosum,700-799,3100-3199
Hedyosmum scaberrimum,1000-1099,1000-1099
Hedyosmum scabrum,1100-1199,3200-3299
Hedyosmum sprucei,300-399,3000-3099
Hedyosmum translucidum,2000-2099,3200-3299
Heisteria acuminata,100-199,2200-2299
Heisteria asplundii,400-499,1500-1599
Heisteria duckei,100-199,300-399
Heisteria latifolia,100-199,2100-2199
Heisteria nitida,100-199,1300-1399
Heisteria pacifica,200-299,200-299
Heliconia nigripraefixa,100-199,1000-1099
Helicostylis elegans,100-199,200-299
Helicostylis scabra,100-199,1000-1099
Helicostylis tomentosa,100-199,1700-1799
Helicostylis tovarensis,400-499,2300-2399
Heliocarpus americanus,100-199,2600-2699
Henriettea fissanthera,300-399,300-399
Henriettea verrucosa,200-299,1200-1299
Herrania balaensis,100-199,800-899
Herrania purpurea,200-299,200-299
Hesperomeles ferruginea,2100-2199,4000-4099
Hesperomeles obtusifolia,1700-1799,4000-4099
Hevea guianensis,100-199,1100-1199
Hieronyma alchorneoides,100-199,2300-2399
Hieronyma asperifolia,1000-1099,3000-3099
Hieronyma duquei,400-499,2800-2899
Hieronyma fendleri,1000-1099,2900-2999
Hieronyma macrocarpa,1100-1199,3000-3099
Hieronyma oblonga,100-199,2200-2299
Hieronyma scabrida,800-899,2100-2199
Hillia parasitica,600-699,2200-2299
Himatanthus articulatus,100-199,1300-1399
Hippotis albiflora,300-399,1100-1199
Hippotis brevipes,100-199,2200-2299
Hirtella bicornis,100-199,900-999
Hirtella eriandra,100-199,500-599
Hirtella macrophylla,300-399,500-599
Hirtella mutisii,100-199,1200-1299
Hirtella pilosissima,100-199,400-499
Hirtella racemosa,100-199,1400-1499
Hirtella triandra,100-199,1200-1299
Hoffmannia longipetiolata,100-199,2000-2099
Hortia brasiliana,1400-1499,1900-1999
Huberodendron patinoi,N/A,N/A
Huertea glandulosa,100-199,2400-2499
Humiriastrum colombianum,100-199,100-199
Humiriastrum mapiriense,1000-1099,2600-2699
Hura crepitans,100-199,900-999
Hydrangea jelskii,2000-2099,2300-2399
Hymenaea courbaril,100-199,700-799
Hymenaea oblongifolia,100-199,500-599
Hymenopus heteromorphus,100-199,1500-1599
Hyospathe elegans,100-199,2800-2899
Hyptidendron arboreum,1700-1799,2000-2099
Idiopappus saloyensis,2900-2999,3100-3199
Ilex andicola,1600-1699,3200-3299
Ilex gabrielleana,400-499,1600-1699
Ilex guayusa,100-199,2900-2999
Ilex hippocrateoides,1100-1199,2800-2899
Ilex hualgayoca,2100-2199,3400-3499
Ilex laurina,1100-1199,2600-2699
Ilex myricoides,2200-2299,3400-3499
Ilex nervosa,1200-1299,2700-2799
Ilex rupicola,2100-2199,3700-3799
Ilex teratopis,1300-1399,3200-3299
Ilex villosula,1600-1699,1600-1699
Incadendron esseri,1500-1599,1800-1899
Inga acreana,100-199,2100-2199
Inga acrocephala,100-199,1400-1499
Inga acuminata,100-199,1200-1299
Inga alba,100-199,1600-1699
Inga auristellae,100-199,500-599
Inga bourgonii,100-199,1600-1699
Inga capitata,100-199,1500-1599
Inga chartacea,100-199,1500-1599
Inga cinnamomea,100-199,1100-1199
Inga cocleensis,1400-1499,1400-1499
Inga cordatoalata,100-199,400-499
Inga coruscans,100-199,1900-1999
Inga densiflora,100-199,2500-2599
Inga edulis,100-199,2700-2799
Inga fendleriana,1600-1699,2500-2599
Inga feuillei,1000-1099,2600-2699
Inga glomeriflora,200-299,1400-1499
Inga heterophylla,100-199,900-999
Inga killipiana,2000-2099,2000-2099
Inga lallensis,100-199,3000-3099
Inga laurina,100-199,2100-2199
Inga lopadadenia,100-199,500-599
Inga macrophylla,100-199,1000-1099
Inga marginata,100-199,2400-2499
Inga multicaulis,100-199,1500-1599
Inga multijuga,100-199,1900-1999
Inga multinervis,200-299,1500-1599
Inga nobilis,100-199,2100-2199
Inga oerstediana,100-199,2500-2599
Inga pezizifera,100-199,900-999
Inga pruriens,100-199,800-899
Inga punctata,100-199,1900-1999
Inga ruiziana,100-199,3100-3199
Inga sapindoides,100-199,2000-2099
Inga sertulifera,100-199,1400-1499
Inga setosa,100-199,200-299
Inga sierrae,100-199,100-199
Inga silanchensis,300-399,2000-2099
Inga spectabilis,100-199,2200-2299
Inga stenoptera,100-199,1300-1399
Inga striata,100-199,2800-2899
Inga thibaudiana,100-199,1200-1299
Inga tomentosa,1500-1599,1500-1599
Inga umbellifera,100-199,1000-1099
Inga velutina,100-199,1900-1999
Inga venusta,100-199,900-999
Inga vera,100-199,2700-2799
Inga villosissima,300-399,2300-2399
Iochroma calycinum,1500-1599,3200-3299
Iochroma grandiflorum,2700-2799,3100-3199
Iriartea deltoidea,100-199,1900-1999
Iryanthera hostmannii,100-199,400-499
Iryanthera juruensis,100-199,1100-1199
Iryanthera lancifolia,100-199,900-999
Iryanthera olacoides,100-199,100-199
Iryanthera paraensis,100-199,400-499
Iryanthera ulei,100-199,700-799
Isertia laevis,100-199,2500-2599
Ixora panurensis,100-199,1700-1799
Jacaranda copaia,100-199,1800-1899
Jacaranda glabra,100-199,900-999
Jacaranda hesperia,1700-1799,1700-1799
Jacaranda macrocarpa,100-199,600-699
Jacaranda mimosifolia,1400-1499,2800-2899
Jacaranda obtusifolia,100-199,300-399
Jacaratia digitata,100-199,1600-1699
Joosia aequatoria,1800-1899,2600-2699
Joosia umbellifera,400-499,2400-2499
Juglans neotropica,1100-1199,3100-3199
Kotchubaea sericantha,100-199,1500-1599
Lacistema aggregatum,100-199,2100-2199
Lacistema nena,100-199,1200-1299
Lacmellea edulis,100-199,1700-1799
Lacunaria crenata,100-199,300-399
Ladenbergia heterophylla,1100-1199,2200-2299
Ladenbergia macrocarpa,1100-1199,2800-2899
Ladenbergia muzonensis,100-199,1400-1499
Ladenbergia oblongifolia,100-199,2700-2799
Ladenbergia riveroana,900-999,1800-1899
Lafoensia acuminata,400-499,2500-2599
Lecointea amazonica,400-499,400-499
Lecythis ampla,200-299,200-299
Leonia crassa,100-199,1100-1199
Leonia glycycarpa,100-199,2000-2099
Leonia occidentalis,100-199,1000-1099
Leonia triandra,200-299,200-299
Leucaena trichodes,300-399,2500-2599
Licania canescens,100-199,500-599
Licania harlingii,100-199,1000-1099
Licania hypoleuca,100-199,800-899
Licania incana,N/A,N/A
Licania micrantha,100-199,200-299
Licania octandra,100-199,900-999
Licaria applanata,500-599,2400-2499
Licaria canella,100-199,2800-2899
Licaria cannella,100-199,2800-2899
Licaria pucheri,1900-1999,2000-2099
Licaria triandra,100-199,2000-2099
Lindackeria paludosa,100-199,700-799
