Species,Min Elevation Bracket,Max Elevation Bracket
Clavija mezii,1400-1499,1400-1499
Clethra crispa,3300-3399,3500-3599
Clethra fagifolia,900-999,3400-3499
Clethra ferruginea,3000-3099,3000-3099
Clethra fimbriata,300-399,3600-3699
Clethra obovata,2000-2099,2300-2399
Clethra ovalifolia,2700-2799,3600-3699
Clethra pedicellaris,1500-1599,3000-3099
Clethra revoluta,1200-1299,3600-3699
Clethra scabra,2300-2399,2300-2399
Clitoria arborea,300-399,800-899
Clusia alata,1200-1299,3500-3599
Clusia articulata,1700-1799,1700-1799
Clusia candelabrum,100-199,500-599
Clusia colombiana,700-799,2400-2499
Clusia crenata,300-399,3000-3099
Clusia cuneifolia,1100-1199,3100-3199
Clusia decussata,700-799,2400-2499
Clusia dixonii,500-599,2000-2099
Clusia ducu,300-399,3100-3199
Clusia ducuoides,300-399,3000-3099
Clusia elliptica,2100-2199,3400-3499
Clusia flavida,100-199,1900-1999
Clusia hammeliana,100-199,1500-1599
Clusia haughtii,300-399,1800-1899
Clusia hydrogera,300-399,2100-2199
Clusia inesiana,700-799,2900-2999
Clusia lineata,300-399,2400-2499
Clusia minor,100-199,3000-3099
Clusia mocoensis,200-299,2000-2099
Clusia multiflora,600-699,3500-3599
Clusia octandra,100-199,1500-1599
Clusia palmicida,100-199,1500-1599
Clusia pavonii,N/A,N/A
Clusia penduliflora,400-499,1800-1899
Clusia pentandra,1300-1399,2200-2299
Clusia schomburgkiana,100-199,2900-2999
Clusia schultesii,100-199,600-699
Clusia sphaerocarpa,400-499,3500-3599
Clusia thurifera,300-399,1200-1299
Clusia trochiformis,1200-1299,1800-1899
Clusia volubilis,2300-2399,3000-3099
Coccoloba acuminata,300-399,1200-1299
Coccoloba ascendens,100-199,300-399
Coccoloba coronata,300-399,500-599
Coccoloba densifrons,100-199,800-899
Coccoloba excelsa,100-199,1100-1199
Coccoloba lehmannii,300-399,1200-1299
Coccoloba mollis,100-199,1100-1199
Coccoloba obovata,300-399,1300-1399
Coccoloba padiformis,300-399,900-999
Coccoloba peruviana,N/A,N/A
Cochlospermum orinocense,100-199,600-699
Coffea arabica,300-399,2500-2599
Compsoneura mutisii,100-199,3000-3099
Compsoneura rigidifolia,1300-1399,1300-1399
Conceveiba pleiostemona,1200-1299,1600-1699
Conceveiba terminalis,100-199,400-499
Condaminea corymbosa,400-499,2000-2099
Copaifera officinalis,100-199,100-199
Cordia alliodora,200-299,3500-3599
Cordia bicolor,100-199,2100-2199
Cordia bogotensis,1300-1399,2500-2599
Cordia dwyeri,400-499,800-899
Cordia lomatoloba,1100-1199,1100-1199
Cordia lutea,900-999,3500-3599
Cordia nodosa,100-199,1300-1399
Cordia panamensis,400-499,3200-3299
Cordia trichotoma,N/A,N/A
Cordia ucayaliensis,300-399,800-899
Cordiera longicaudata,900-999,1800-1899
Cordiera myrciifolia,100-199,400-499
Cornus peruviana,1400-1499,3000-3099
Cornutia pyramidata,100-199,2200-2299
Cosmibuena grandiflora,300-399,2000-2099
Couma macrocarpa,100-199,1300-1399
Couratari guianensis,200-299,1600-1699
Couroupita guianensis,100-199,3200-3299
Coussapoa contorta,300-399,3400-3499
Coussapoa crassivenosa,700-799,1500-1599
Coussapoa herthae,400-499,1200-1299
Coussapoa villosa,100-199,1900-1999
Coussarea ecuadorensis,700-799,2000-2099
Coussarea grandifolia,300-399,900-999
Coussarea hirticalyx,300-399,1400-1499
Coussarea klugii,300-399,700-799
Coussarea latifolia,200-299,1800-1899
Coussarea macrocalyx,300-399,500-599
Coussarea paniculata,100-199,1900-1999
Coussarea tenuiflora,300-399,300-399
Coutarea hexandra,300-399,900-999
Crepidospermum rhoifolium,100-199,700-799
Critoniopsis floribunda,N/A,N/A
Critoniopsis glandulata,2000-2099,2000-2099
Critoniopsis occidentalis,1100-1199,2200-2299
Critoniopsis tungurahuae,1400-1499,1400-1499
Croton floccosus,1300-1399,3300-3399
Croton glabellus,400-499,400-499
Croton gossypiifolius,600-699,2100-2199
Croton lechleri,300-399,2000-2099
Croton mutisianus,400-499,2800-2899
Croton niveus,500-599,500-599
Croton rimbachii,N/A,N/A
Croton sampatik,400-499,1900-1999
Croton schiedeanus,300-399,1500-1599
Croton smithianus,400-499,2000-2099
Croton tessmannii,600-699,1100-1199
Cuatresia cuspidata,500-599,2100-2199
Cuatresia riparia,300-399,2900-2999
Cupania americana,100-199,2200-2299
Cupania cinerea,100-199,3500-3599
Cupania latifolia,100-199,1700-1799
Cupania livida,500-599,2000-2099
Cupania rubiginosa,500-599,500-599
Cupania rufescens,300-399,300-399
Cupania scrobiculata,100-199,1400-1499
Curatella americana,100-199,1800-1899
Cyathea andina,400-499,1900-1999
Cyathea austropallescens,1500-1599,1500-1599
Cyathea bipinnatifida,400-499,2200-2299
Cyathea brunnescens,200-299,2200-2299
Cyathea caracasana,200-299,3400-3499
Cyathea catacampta,1800-1899,1800-1899
Cyathea conjugata,1200-1299,2800-2899
Cyathea corallifera,1600-1699,3400-3499
Cyathea crenata,1400-1499,2200-2299
Cyathea cystolepis,1200-1299,2900-2999
Cyathea delgadii,300-399,3000-3099
Cyathea divergens,1100-1199,3300-3399
Cyathea frigida,1300-1399,3400-3499
Cyathea frondosa,2000-2099,3500-3599
Cyathea fulva,1200-1299,3500-3599
Cyathea kalbreyeri,1300-1399,1300-1399
Cyathea lechleri,700-799,2500-2599
Cyathea lindeniana,1200-1299,2300-2399
Cyathea meridensis,1200-1299,2300-2399
Cyathea multiflora,300-399,3400-3499
Cyathea nigripes,500-599,2000-2099
Cyathea obnoxia,1500-1599,1500-1599
Cyathea pallescens,1300-1399,3000-3099
Cyathea pauciflora,1200-1299,1500-1599
Cyathea pilosissima,300-399,3100-3199
Cyathea planadae,1500-1599,2400-2499
Cyathea pungens,300-399,1800-1899
Cyathea squamipes,1300-1399,3100-3199
Cyathea straminea,2900-2999,3500-3599
Cybianthus humilis,1900-1999,2100-2199
Cybianthus iteoides,1200-1299,3700-3799
Cybianthus laurifolius,1500-1599,3400-3499
Cybianthus marginatus,2400-2499,3700-3799
Cybianthus pastensis,700-799,3200-3299
Cybianthus poeppigii,300-399,2200-2299
Cybianthus schlimii,300-399,1900-1999
Cybianthus venezuelanus,100-199,2200-2299
Cynometra bauhiniifolia,100-199,100-199
Cynophalla flexuosa,300-399,1500-1599
Dacryodes belemensis,300-399,300-399
Dacryodes cupularis,400-499,1800-1899
Dacryodes peruviana,300-399,800-899
Daphnopsis equatorialis,1100-1199,1900-1999
Delostoma integrifolium,400-499,2700-2799
Dendrobangia boliviana,100-199,1400-1499
Dendropanax arboreus,100-199,3300-3399
Dendropanax caucanus,200-299,2000-2099
Dendropanax cuneatus,600-699,1300-1399
Dendropanax fendleri,N/A,N/A
Dendropanax macrocarpus,1300-1399,1800-1899
Dendropanax macrophyllus,400-499,2400-2499
Dendropanax umbellatus,1600-1699,1600-1699
Dendrophorbium lloense,1300-1399,3300-3399
Dendrophorbium tipocochense,2100-2199,3300-3399
Deprea subtriflora,1400-1499,1400-1499
Dialium guianense,100-199,900-999
Dicksonia karsteniana,300-399,3300-3399
Dicksonia sellowiana,1200-1299,3300-3399
Dictyocaryum lamarckianum,1200-1299,2000-2099
Dieffenbachia seguine,100-199,1500-1599
Dilodendron costaricense,500-599,500-599
Dimorphandra macrostachya,300-399,1200-1299
Dioicodendron dioicum,500-599,2400-2499
Diospyros artanthifolia,N/A,N/A
Diospyros nigra,N/A,N/A
Diplotropis martiusii,100-199,900-999
Discophora guianensis,100-199,1500-1599
Doliocarpus dentatus,100-199,1400-1499
Drimys granadensis,2000-2099,3600-3699
Drypetes amazonica,100-199,800-899
Duguetia hadrantha,N/A,N/A
Duguetia surinamensis,N/A,N/A
Dunalia solanacea,1500-1599,3800-3899
Duroia hirsuta,100-199,1400-1499
Duroia laevis,500-599,800-899
Dussia lehmannii,300-399,2400-2499
Dussia macroprophyllata,1800-1899,1800-1899
Dussia tessmannii,300-399,2100-2199
Dystovomita paniculata,300-399,2200-2299
Ecclinusa lanceolata,100-199,1300-1399
Ecclinusa ramiflora,400-499,1200-1299
Elaeagia ecuadorensis,900-999,1400-1499
Elaeagia karstenii,500-599,2400-2499
Elaeagia mariae,400-499,2900-2999
Elaeagia myriantha,1300-1399,2300-2399
Elaeagia pastoensis,300-399,2300-2399
Elaeagia utilis,600-699,2400-2499
Elaeoluma glabrescens,100-199,1200-1299
Endlicheria formosa,100-199,2200-2299
Endlicheria gracilis,300-399,1400-1499
Endlicheria griseo-sericea,700-799,2100-2199
Endlicheria griseosericea,700-799,2100-2199
Endlicheria krukovii,300-399,600-699
Endlicheria lorastemon,N/A,N/A
Endlicheria macrophylla,N/A,N/A
Endlicheria metallica,400-499,2100-2199
Endlicheria oreocola,N/A,N/A
Endlicheria pyriformis,100-199,1800-1899
Endlicheria sericea,200-299,1600-1699
Endlicheria tessmannii,700-799,700-799
Entada gigas,200-299,1200-1299
Enterolobium cyclocarpum,200-299,2200-2299
Enterolobium schomburgkii,100-199,1300-1399
Eriotheca globosa,300-399,500-599
Eriotheca macrophylla,300-399,300-399
Erythrina amazonica,300-399,1100-1199
Erythrina berteroana,1500-1599,1700-1799
Erythrina edulis,400-499,3400-3499
Erythrina poeppigiana,200-299,2000-2099
Erythrina ulei,700-799,800-899
Erythroxylum citrifolium,100-199,2300-2399
Erythroxylum gracilipes,300-399,1200-1299
Erythroxylum hondense,300-399,1500-1599
Erythroxylum macrophyllum,100-199,1800-1899
Erythroxylum squamatum,600-699,1800-1899
Escallonia myrtilloides,2100-2199,3900-3999
Escallonia paniculata,900-999,3200-3299
Escallonia pendula,900-999,2900-2999
Eschweilera albiflora,100-199,1300-1399
Eschweilera andina,100-199,1800-1899
Eschweilera antioquensis,100-199,2200-2299
Eschweilera bogotensis,1400-1499,2000-2099
Eschweilera bracteosa,100-199,600-699
Eschweilera caudiculata,100-199,3300-3399
Eschweilera coriacea,100-199,1500-1599
Eschweilera panamensis,1200-1299,1200-1299
Eschweilera rimbachii,100-199,1800-1899
Eschweilera sessilis,200-299,2400-2499
Eugenia anastomosans,100-199,1900-1999
Eugenia biflora,100-199,1900-1999
Eugenia crassimarginata,800-899,2300-2399
Eugenia dittocrepis,300-399,3000-3099
Eugenia egensis,100-199,700-799
Eugenia feijoi,500-599,500-599
Eugenia florida,100-199,3200-3299
Eugenia muricata,300-399,800-899
Eugenia oerstediana,900-999,900-999
Eugenia uniflora,1100-1199,2500-2599
Euphorbia arenaria,900-999,2000-2099
Euplassa duquei,700-799,2500-2599
Euterpe precatoria,100-199,2300-2399
Faramea ampla,300-399,1700-1799
Faramea anisocalyx,200-299,1500-1599
Faramea bangii,1600-1699,1600-1699
Faramea calyptrata,800-899,2400-2499
Faramea capillipes,100-199,1300-1399
Faramea cuspidata,800-899,1900-1999
Faramea eurycarpa,1700-1799,1800-1899
Faramea fragrans,300-399,400-499
Faramea jasminoides,700-799,3000-3099
Faramea langlassei,600-699,1800-1899
Faramea multiflora,100-199,3000-3099
Faramea oblongifolia,300-399,2300-2399
Faramea occidentalis,100-199,1900-1999
Faramea parvibractea,100-199,1400-1499
Faramea quinqueflora,300-399,3000-3099
Faramea torquata,300-399,600-699
Ferdinandusa chlorantha,100-199,1400-1499
Ferdinandusa guainiae,300-399,400-499
Ferdinandusa loretensis,100-199,700-799
Ficus americana,100-199,3900-3999
Ficus apollinaris,1200-1299,1900-1999
Ficus brevibracteata,300-399,2100-2199
Ficus carchiana,800-899,1800-1899
Ficus casapiensis,N/A,N/A
Ficus cervantesiana,900-999,1900-1999
Ficus citrifolia,300-399,2300-2399
Ficus coerulescens,700-799,1900-1999
Ficus crassiuscula,500-599,2100-2199
Ficus crocata,900-999,1800-1899
Ficus cuatrecasana,500-599,3000-3099
Ficus cuatrecasasiana,300-399,2300-2399
Ficus donnell-smithii,100-199,600-699
Ficus dulciaria,1600-1699,2900-2999
Ficus eximia,400-499,1500-1599
Ficus gigantosyce,1800-1899,2900-2999
Ficus gomelleira,100-199,1500-1599
Ficus guianensis,100-199,2100-2199
Ficus hartwegii,600-699,1900-1999
Ficus insipida,100-199,3000-3099
Ficus krukovii,400-499,2100-2199
Ficus lacunata,2000-2099,2400-2499
Ficus macbridei,300-399,1700-1799
Ficus mathewsii,100-199,1300-1399
Ficus maxima,100-199,2300-2399
Ficus mutisii,300-399,2300-2399
Ficus obtusifolia,200-299,2000-2099
Ficus pallida,300-399,3500-3599
Ficus paraensis,100-199,1800-1899
Ficus pertusa,200-299,1500-1599
Ficus popenoei,300-399,400-499
Ficus schippii,300-399,1800-1899
Ficus tonduzii,500-599,3000-3099
Ficus trapezicola,1400-1499,1400-1499
Ficus trianae,300-399,1200-1299
Ficus trigona,100-199,2100-2199
Ficus velutina,800-899,3200-3299
Frangula goudotiana,1700-1799,3300-3399
Frangula granulosa,800-899,2400-2499
Frangula sphaerosperma,1600-1699,3100-3199
Freziera candicans,1400-1499,2300-2399
Freziera canescens,600-699,3800-3899
Freziera chrysophylla,1500-1599,2400-2499
Freziera karsteniana,2900-2999,3000-3099
Freziera punctata,2300-2399,3500-3599
Freziera reticulata,1700-1799,3500-3599
Freziera verrucosa,1300-1399,3000-3099
Fusaea longifolia,100-199,2000-2099
Gaiadendron punctatum,1100-1199,3800-3899
Garcinia intermedia,300-399,1800-1899
Garcinia macrophylla,100-199,1900-1999
Garcinia madruno,100-199,1800-1899
Geissanthus ambigua,900-999,2400-2499
Geissanthus andinus,2300-2399,3600-3699
Alseis peruviana,300-399,300-399
Alsophila cuspidata,200-299,2100-2199
Alsophila engelii,1200-1299,2700-2799
Alsophila erinacea,300-399,2700-2799
Alsophila incana,800-899,1900-1999
Alzatea verticillata,600-699,2300-2399
Amaioua guianensis,100-199,900-999
Amanoa oblongifolia,100-199,1400-1499
Ampelocera edentula,100-199,700-799
Ampelocera longissima,1200-1299,1200-1299
Ampelocera ruizii,N/A,N/A
Amphirrhox longifolia,100-199,800-899
Amyris ignea,1500-1599,1500-1599
Amyris pinnata,300-399,1600-1699
Amyris sylvatica,200-299,900-999
Anacardium excelsum,200-299,2200-2299
Anacardium giganteum,100-199,500-599
Anacardium occidentale,100-199,1600-1699
Anaxagorea brevipes,100-199,1100-1199
Andira chigorodensis,1700-1799,1700-1799
Andira inermis,200-299,1800-1899
Andira multistipula,400-499,400-499
Andira surinamensis,100-199,700-799
Andira taurotesticulata,400-499,2000-2099
Aniba canelilla,700-799,900-999
Aniba coto,1500-1599,3000-3099
Aniba firmula,N/A,N/A
Aniba hostmanniana,200-299,1900-1999
Aniba muca,1500-1599,2200-2299
Aniba panurensis,100-199,3000-3099
Aniba perutilis,300-399,1900-1999
Aniba puchury-minor,200-299,2000-2099
Aniba riparia,800-899,1900-1999
Aniba robusta,400-499,2100-2199
Annona amazonica,400-499,700-799
Annona ambotay,100-199,1300-1399
Annona cherimola,500-599,2800-2899
Annona cuspidata,200-299,800-899
Annona deceptrix,300-399,1200-1299
Geissanthus bogotensis,1500-1599,3400-3499
Geissanthus ecuadorensis,800-899,2400-2499
Geissanthus fragrans,1600-1699,1600-1699
Geissanthus longistamineus,100-199,2900-2999
Geissanthus occidentalis,600-699,3300-3399
Geissanthus pichinchae,1500-1599,1500-1599
Geissanthus vanderwerffii,600-699,3200-3299
Genipa americana,100-199,1600-1699
Geoffroea spinosa,900-999,900-999
Geonoma deversa,100-199,1400-1499
Geonoma orbignyana,400-499,2500-2599
Geonoma undata,800-899,3200-3299
Gloeospermum longifolium,100-199,1800-1899
Gloeospermum sphaerocarpum,300-399,1900-1999
Glossoloma tetragonoides,300-399,3000-3099
Godmania aesculifolia,500-599,500-599
Gonzalagunia cornifolia,100-199,2900-2999
Gonzalagunia dicocca,200-299,1800-1899
Gordonia fruticosa,300-399,3400-3499
Goupia glabra,100-199,400-499
Graffenrieda cucullata,500-599,2800-2899
Graffenrieda emarginata,2000-2099,2200-2299
Graffenrieda galeottii,1500-1599,1500-1599
Graffenrieda gracilis,300-399,2000-2099
Graffenrieda intermedia,700-799,1700-1799
Graffenrieda latifolia,1500-1599,1500-1599
Grias haughtii,900-999,1400-1499
Grias peruviana,100-199,800-899
Grias theobromicarpa,1500-1599,1500-1599
Grosvenoria rimbachii,2800-2899,3700-3799
Guapira costaricana,300-399,1900-1999
Guapira noxia,N/A,N/A
Guapira pubescens,400-499,900-999
Guarea cartaguenya,300-399,1800-1899
Guarea glabra,100-199,2000-2099
Guarea gomma,300-399,1500-1599
Guarea grandifolia,200-299,2400-2499
Guarea guidonia,100-199,2000-2099
Guarea kunthiana,100-199,3100-3199
Guarea macrophylla,100-199,1800-1899
Guarea pterorhachis,300-399,700-799
Guarea purusana,200-299,2300-2399
Guarea pyriformis,500-599,1400-1499
Guarea silvatica,200-299,1400-1499
Guatteria amplifolia,100-199,2400-2499
Guatteria blepharophylla,100-199,1700-1799
Guatteria boliviana,600-699,1300-1399
Guatteria cargadero,200-299,1900-1999
Guatteria cestrifolia,300-399,1400-1499
Guatteria duodecima,N/A,N/A
Guatteria glauca,500-599,700-799
Guatteria goudotiana,300-399,3000-3099
Guatteria hirsuta,100-199,2000-2099
Guatteria hyposericea,500-599,700-799
Guatteria megalophylla,100-199,1400-1499
Guatteria pichinchae,1100-1199,1100-1199
Guatteria pittieri,300-399,1800-1899
Guatteria punctata,100-199,2000-2099
Guatteria recurvisepala,100-199,1300-1399
Guatteria schomburgkiana,100-199,1200-1299
Guatteria venosa,300-399,900-999
Guazuma ulmifolia,100-199,1900-1999
Guettarda aromatica,300-399,700-799
Guettarda crispiflora,100-199,3300-3399
Guettarda dependens,900-999,2900-2999
Guettarda malacophylla,400-499,900-999
Guettarda roupalifolia,1200-1299,1200-1299
Guettarda sanblasensis,100-199,600-699
Guettarda tournefortiopsis,1300-1399,2900-2999
Gustavia hexapetala,100-199,1600-1699
Gustavia nana,500-599,500-599
Gustavia poeppigiana,100-199,500-599
Gustavia romeroi,300-399,300-399
Gustavia speciosa,400-499,1900-1999
Gustavia superba,100-199,1800-1899
Handroanthus chrysanthus,200-299,1900-1999
Handroanthus impetiginosus,100-199,100-199
Handroanthus obscurus,100-199,1200-1299
Handroanthus ochraceus,300-399,1600-1699
Handroanthus serratifolius,200-299,1200-1299
Hasseltia floribunda,100-199,2400-2499
Hasseltia lateriflora,1800-1899,2000-2099
Haydenoxylon gentryi,800-899,3200-3299
Hebeclinium phoenicticum,1500-1599,2900-2999
Hebepetalum humiriifolium,100-199,500-599
Hedyosmum angustifolium,N/A,N/A
Hedyosmum anisodorum,1900-1999,2200-2299
Hedyosmum bonplandianum,300-399,3400-3499
Hedyosmum crenatum,900-999,3000-3099
Hedyosmum cuatrecazanum,400-499,3300-3399
Hedyosmum cumbalense,500-599,3700-3799
Hedyosmum gentryi,1200-1299,1400-1499
Hedyosmum goudotianum,500-599,3400-3499
Hedyosmum luteynii,500-599,3600-3699
Hedyosmum parvifolium,2800-2899,3400-3499
Hedyosmum racemosum,100-199,3600-3699
Hedyosmum scaberrimum,400-499,2000-2099
Hedyosmum scabrum,1800-1899,3100-3199
Hedyosmum sprucei,700-799,2400-2499
Hedyosmum tepuiense,1700-1799,1800-1899
Hedyosmum translucidum,1300-1399,3300-3399
Heisteria acuminata,100-199,1900-1999
Heisteria asplundii,400-499,2200-2299
Heisteria duckei,100-199,1200-1299
Heisteria latifolia,600-699,1200-1299
Heisteria nitida,1300-1399,1400-1499
Heisteria pacifica,100-199,800-899
Heliconia nigripraefixa,300-399,800-899
Helicostylis elegans,100-199,1400-1499
Helicostylis scabra,100-199,500-599
Helicostylis tomentosa,100-199,1400-1499
Helicostylis tovarensis,200-299,2100-2199
Helicteres baruensis,300-399,1500-1599
Heliocarpus americanus,200-299,3000-3099
Henriettea fissanthera,300-399,300-399
Henriettea trachyphylla,400-499,2000-2099
Henriettea verrucosa,300-399,1300-1399
Hernandia didymantha,500-599,500-599
Herrania balaensis,200-299,800-899
Hesperomeles ferruginea,300-399,3900-3999
Hesperomeles goudotiana,1900-1999,3900-3999
Hesperomeles obtusifolia,1600-1699,3900-3999
Hevea guianensis,100-199,900-999
Hieronyma alchorneoides,100-199,2100-2199
Hieronyma antioquensis,1500-1599,2000-2099
Hieronyma asperifolia,400-499,2100-2199
Hieronyma duquei,500-599,3000-3099
Hieronyma fendleri,600-699,3000-3099
Hieronyma huilensis,1100-1199,3000-3099
Hieronyma macrocarpa,800-899,3400-3499
Hieronyma oblonga,100-199,2900-2999
Hieronyma rufa,2700-2799,3000-3099
Hieronyma scabra,1500-1599,2800-2899
Hieronyma scabrida,1600-1699,2800-2899
Hillia parasitica,500-599,2400-2499
Himatanthus articulatus,100-199,900-999
Hippotis albiflora,400-499,1600-1699
Hippotis brevipes,500-599,1900-1999
Hirtella bicornis,100-199,1200-1299
Hirtella eriandra,2100-2199,2100-2199
Hirtella macrophylla,300-399,700-799
Hirtella mutisii,100-199,500-599
Hirtella pilosissima,100-199,100-199
Hirtella racemosa,100-199,900-999
Hirtella triandra,200-299,1200-1299
Hirtella tubiflora,500-599,500-599
Hoffmannia longipetiolata,300-399,2800-2899
Hortia brasiliana,300-399,500-599
Huberodendron patinoi,100-199,600-699
Huertea glandulosa,600-699,2100-2199
Huertea granadina,1900-1999,1900-1999
Humiriastrum colombianum,100-199,100-199
Hura crepitans,200-299,1900-1999
Hymenaea courbaril,100-199,2000-2099
Hymenaea oblongifolia,100-199,1300-1399
Hymenopus heteromorphus,100-199,1300-1399
Hyospathe elegans,100-199,1800-1899
Ilex acutidenticulata,900-999,1800-1899
Ilex andicola,2800-2899,3300-3399
Ilex colombiana,3000-3099,3500-3599
Ilex danielis,2300-2399,3400-3499
Ilex guayusa,300-399,2000-2099
Ilex karstenii,N/A,N/A
Ilex laurina,1600-1699,3100-3199
Ilex myricoides,2800-2899,3500-3599
Ilex nervosa,1200-1299,3300-3399
Ilex pernervata,1800-1899,3400-3499
Ilex sessiliflora,3100-3199,3400-3499
Inga acreana,200-299,2400-2499
Inga acrocephala,100-199,2100-2199
Inga acuminata,100-199,1800-1899
Inga alba,100-199,900-999
Inga auristellae,100-199,700-799
Inga bourgonii,100-199,1300-1399
Inga capitata,100-199,1600-1699
Inga chartacea,300-399,1400-1499
Inga cinnamomea,300-399,1800-1899
Inga cocleensis,300-399,3000-3099
Inga cordatoalata,300-399,1400-1499
Inga cordistipula,200-299,200-299
Inga coruscans,500-599,2500-2599
Inga densiflora,200-299,3500-3599
Inga edulis,100-199,2500-2599
Inga fendleriana,1600-1699,1600-1699
Inga feuillei,1200-1299,2100-2199
Inga glomeriflora,2000-2099,2000-2099
Inga heterophylla,100-199,1200-1299
Inga lallensis,300-399,2500-2599
Inga laurina,100-199,1800-1899
Inga lopadadenia,300-399,1300-1399
Inga macrophylla,100-199,1400-1499
Inga marginata,100-199,1900-1999
Inga mucuna,700-799,700-799
Inga multicaulis,300-399,1800-1899
Inga multijuga,200-299,2200-2299
Inga multinervis,500-599,1800-1899
Inga nobilis,100-199,2100-2199
Inga oerstediana,200-299,2900-2999
Inga pezizifera,100-199,1800-1899
Inga pruriens,200-299,500-599
Inga punctata,100-199,3000-3099
Inga ruiziana,300-399,1900-1999
Inga sapindoides,200-299,2300-2399
Inga sertulifera,100-199,1700-1799
Inga setosa,300-399,300-399
Inga sierrae,1400-1499,2300-2399
Inga silanchensis,300-399,1500-1599
Inga spectabilis,300-399,1500-1599
Inga stenoptera,100-199,1600-1699
Inga striata,1400-1499,2200-2299
Inga thibaudiana,100-199,1200-1299
Inga tomentosa,1900-1999,1900-1999
Inga umbellifera,100-199,1600-1699
Inga velutina,1900-1999,1900-1999
Inga venusta,500-599,1800-1899
Inga vera,200-299,3200-3299
Inga villosissima,200-299,2200-2299
Iochroma calycinum,1800-1899,2700-2799
Iriartea deltoidea,100-199,2000-2099
Iryanthera hostmannii,100-199,600-699
Iryanthera juruensis,100-199,900-999
Iryanthera lancifolia,200-299,900-999
Iryanthera paraensis,100-199,500-599
Iryanthera ulei,100-199,300-399
Isertia laevis,200-299,2000-2099
Ixora panurensis,100-199,1400-1499
Jacaranda caucana,100-199,3200-3299
Jacaranda copaia,100-199,1200-1299
Jacaranda glabra,200-299,800-899
