species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25,num_of_regions
Abatia parviflora,1400,1600,2600,800,N/A,N/A,N/A,4
Acalypha cuneata,1100,1300,1500,1700,1100,400,N/A,6
Acalypha diversifolia,2100,2700,3700,1800,1700,1700,800,7
Acalypha macrostachya,2300,2400,1300,1500,2100,2400,N/A,6
Achatocarpus nigricans,600,800,N/A,N/A,N/A,1100,N/A,3
Adenocalymma aspericarpum,1300,N/A,N/A,N/A,N/A,N/A,N/A,1
Aegiphila alba,1600,2100,2500,0,N/A,N/A,N/A,4
Aegiphila bogotensis,700,1100,2600,N/A,N/A,N/A,N/A,3
Aegiphila cuatrecasasii,0,400,1000,N/A,0,N/A,N/A,4
Aegiphila integrifolia,1800,1700,1500,3000,1800,2000,N/A,6
Aegiphila laeta,1300,0,N/A,N/A,N/A,N/A,N/A,2
Aegiphila panamensis,1500,400,1900,500,300,N/A,N/A,5
Aequatorium jamesonii,0,300,1000,N/A,N/A,N/A,N/A,3
Ageratina boyacensis,0,100,N/A,N/A,N/A,N/A,N/A,2
Ageratina glyptophlebia,1500,1200,N/A,N/A,N/A,N/A,N/A,2
Ageratina popayanensis,2500,2600,N/A,N/A,N/A,N/A,N/A,2
Ageratina tinifolia,2600,1500,0,N/A,N/A,N/A,N/A,3
Agouticarpa williamsii,700,2000,1000,N/A,0,N/A,N/A,4
Aiouea dubia,2000,1700,800,N/A,0,N/A,N/A,4
Aiphanes hirsuta,1000,1000,N/A,N/A,N/A,N/A,N/A,2
Aiphanes horrida,1500,1100,0,100,1600,800,N/A,6
Aiphanes linearis,700,0,N/A,N/A,N/A,N/A,N/A,2
Aiphanes parvifolia,800,N/A,N/A,N/A,N/A,N/A,N/A,1
Albizia carbonaria,1400,400,N/A,N/A,2000,N/A,N/A,3
Albizia subdimidiata,0,500,N/A,0,0,100,N/A,5
Alchornea acutifolia,1300,400,0,1600,100,N/A,N/A,5
Alchornea bogotensis,100,900,400,N/A,N/A,N/A,N/A,3
Alchornea brittonii,0,0,0,N/A,1600,1600,N/A,5
Alchornea coelophylla,1600,1500,1400,N/A,0,0,N/A,5
Alchornea costaricensis,1400,N/A,400,N/A,N/A,N/A,N/A,2
Alchornea floribunda,400,0,N/A,N/A,N/A,N/A,N/A,2
Alchornea glandulosa,2300,2200,2500,2200,3000,2200,N/A,6
Alchornea grandiflora,1700,1700,1200,1800,2200,600,N/A,6
Alchornea grandis,700,1400,1300,300,900,0,N/A,6
Alchornea latifolia,2100,2300,1900,800,1200,1700,N/A,6
Alchornea megalophylla,900,0,N/A,N/A,N/A,N/A,N/A,2
Alchornea triplinervia,2100,3800,2000,1900,2300,2100,N/A,6
Alchornea verticillata,1600,N/A,N/A,N/A,N/A,N/A,N/A,1
Alchorneopsis floribunda,3700,400,600,500,600,N/A,N/A,5
Alfaroa colombiana,1300,400,N/A,N/A,N/A,N/A,N/A,2
Alfaroa williamsii,1000,N/A,N/A,N/A,N/A,N/A,N/A,1
Allomaieta hirsuta,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Allomaieta pancurana,900,N/A,N/A,N/A,N/A,N/A,N/A,1
Allomaieta villosa,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Allophylus edulis,0,N/A,N/A,0,400,1900,1700,5
Allophylus excelsus,1700,2300,1500,N/A,100,0,N/A,5
Allophylus floribundus,0,2100,1900,2400,2000,1800,N/A,6
Allophylus psilospermus,900,N/A,900,N/A,N/A,500,N/A,3
Allophylus punctatus,0,0,1800,2100,1800,1900,N/A,6
Alnus acuminata,2000,2800,2400,3400,2000,3000,1600,7
Alseis blackiana,400,N/A,N/A,N/A,0,N/A,N/A,2
Ciliosemina pedunculata,1200,1000,500,1000,N/A,N/A,N/A,4
Ciliosemina purdieana,300,N/A,N/A,N/A,N/A,N/A,N/A,1
