Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,N/A,N/A
Acalypha cuneata,200-299,1300-1399
Acalypha diversifolia,200-299,1900-1999
Acalypha macrostachya,200-299,2300-2399
Acalypha stenoloba,200-299,1800-1899
Acalypha stricta,100-199,1900-1999
Achatocarpus praecox,600-699,1200-1299
Actinostemon concolor,700-799,1200-1299
Aegiphila cuatrecasasii,2000-2099,2000-2099
Aegiphila integrifolia,100-199,1900-1999
Aegiphila panamensis,1700-1799,2000-2099
Agonandra excelsa,800-899,1200-1299
Agonandra peruviana,400-499,1700-1799
Agonandra silvatica,500-599,1900-1999
Agouticarpa williamsii,1100-1199,1100-1199
Aiouea dubia,600-699,600-699
Aiouea grandifolia,200-299,1600-1699
Aiphanes horrida,200-299,1700-1799
Albizia carbonaria,700-799,2700-2799
Albizia multiflora,N/A,N/A
Albizia niopoides,200-299,1200-1299
Albizia subdimidiata,200-299,200-299
Alchornea acutifolia,800-899,900-999
Alchornea anamariae,1400-1499,2300-2399
Alchornea brittonii,1200-1299,2800-2899
Alchornea coelophylla,2000-2099,2000-2099
Alchornea glandulosa,200-299,3200-3299
Alchornea grandiflora,700-799,2900-2999
Alchornea grandis,1600-1699,2500-2599
Alchornea latifolia,1000-1099,2200-2299
Alchornea pearcei,800-899,2600-2699
Alchornea triplinervia,100-199,2400-2499
Alchorneopsis floribunda,300-399,900-999
Alibertia bertierifolia,300-399,600-699
Allophylus amazonicus,200-299,1200-1299
Allophylus coriaceus,N/A,N/A
Allophylus divaricatus,200-299,1200-1299
Allophylus dodsonii,N/A,N/A
Allophylus edulis,800-899,1200-1299
Allophylus excelsus,2400-2499,2500-2599
Allophylus floribundus,200-299,2100-2199
Allophylus glabratus,200-299,700-799
Allophylus incanus,N/A,N/A
Allophylus loretensis,100-199,700-799
Allophylus pilosus,200-299,1600-1699
Allophylus punctatus,200-299,1900-1999
Alnus acuminata,1500-1599,3500-3599
Alseis blackiana,N/A,N/A
Chrysophyllum venezuelanense,200-299,1500-1599
Cinchona calisaya,600-699,3100-3199
Cinchona hirsuta,2300-2399,3000-3099
Cinchona macrocalyx,2000-2099,2900-2999
Cinchona micrantha,300-399,2600-2699
Cinchona officinalis,1500-1599,3000-3099
Cinchona pubescens,300-399,2900-2999
Cinchona pyrifolia,2200-2299,3100-3199
Cinchonopsis amazonica,300-399,2300-2399
Cissus trianae,1400-1499,2900-2999
Citronella incarum,400-499,3300-3399
Citrus X aurantium,800-899,900-999
Clarisia biflora,100-199,2900-2999
Clarisia racemosa,100-199,1300-1399
Clavija nutans,300-399,1300-1399
Clethra castaneifolia,2100-2199,3500-3599
Clethra cuneata,1500-1599,3600-3699
Clethra fagifolia,N/A,N/A
Clethra ferruginea,1900-1999,3800-3899
Clethra fimbriata,3300-3399,3300-3399
Clethra obovata,500-599,3000-3099
Clethra pedicellaris,500-599,2900-2999
Clethra revoluta,600-699,3100-3199
Clethra scabra,900-999,2900-2999
Clitoria arborea,200-299,800-899
Clusia alata,2500-2599,3400-3499
Clusia decussata,500-599,500-599
Clusia ducu,1800-1899,2600-2699
Clusia ducuoides,1700-1799,2700-2799
Clusia elliptica,1700-1799,3200-3299
Clusia flavida,100-199,1300-1399
Clusia hammeliana,300-399,1700-1799
Clusia haughtii,600-699,1200-1299
Clusia lineata,700-799,700-799
Clusia minor,1000-1099,1900-1999
Clusia multiflora,900-999,3500-3599
Clusia octandra,800-899,800-899
Clusia pavonii,N/A,N/A
Clusia penduliflora,600-699,600-699
Clusia schomburgkiana,N/A,N/A
Clusia schultesii,700-799,2200-2299
Clusia sphaerocarpa,1600-1699,3100-3199
Clusia thurifera,1700-1799,2400-2499
Clusia trochiformis,900-999,3800-3899
Coccoloba acuminata,100-199,500-599
Coccoloba ascendens,N/A,N/A
Coccoloba coronata,1300-1399,1300-1399
Coccoloba densifrons,100-199,200-299
Coccoloba excelsa,200-299,200-299
Coccoloba lehmannii,300-399,300-399
Coccoloba mollis,200-299,1700-1799
Coccoloba peruviana,200-299,1200-1299
Cochlospermum orinocense,100-199,500-599
Coffea arabica,200-299,2100-2199
Colicodendron scabridum,600-699,1300-1399
Colubrina retusa,700-799,1600-1699
Conceveiba terminalis,300-399,1100-1199
Condaminea corymbosa,300-399,2700-2799
Cordia alliodora,100-199,1900-1999
Cordia bicolor,200-299,1600-1699
Cordia lomatoloba,200-299,2400-2499
Cordia lutea,N/A,N/A
