Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,2000-2099,3600-3699
Acalypha cuneata,200-299,1500-1599
Acalypha diversifolia,100-199,2800-2899
Acalypha macrostachya,200-299,2600-2699
Acalypha stenoloba,N/A,N/A
Acalypha stricta,N/A,N/A
Achatocarpus nigricans,300-399,1100-1199
Achatocarpus praecox,N/A,N/A
Adenocalymma aspericarpum,N/A,N/A
Aegiphila aculeifera,N/A,N/A
Aegiphila alba,100-199,2200-2299
Aegiphila bogotensis,2100-2199,3200-3299
Aegiphila cuatrecasasii,1900-1999,2300-2399
Aegiphila integrifolia,100-199,1800-1899
Aegiphila laeta,700-799,700-799
Aegiphila monticola,3000-3099,3300-3399
Aegiphila panamensis,300-399,700-799
Aequatorium jamesonii,3300-3399,3600-3699
Ageratina boyacensis,3000-3099,3100-3199
Ageratina glyptophlebia,2700-2799,3900-3999
Ageratina popayanensis,1000-1099,3600-3699
Ageratina tinifolia,2400-2499,3900-3999
Agonandra silvatica,N/A,N/A
Agouticarpa williamsii,100-199,2100-2199
Aiouea dubia,1300-1399,3000-3099
Aiouea formicaria,N/A,N/A
Aiouea grandifolia,N/A,N/A
Aiouea palaciosii,N/A,N/A
Aiphanes hirsuta,800-899,1800-1899
Aiphanes horrida,300-399,1400-1499
Aiphanes linearis,2000-2099,2000-2099
Albizia carbonaria,800-899,1200-1299
Albizia niopoides,800-899,1400-1499
Albizia subdimidiata,300-399,800-899
Alchornea acutifolia,1900-1999,2300-2399
Alchornea bogotensis,1400-1499,2300-2399
Alchornea brittonii,2000-2099,2000-2099
Alchornea coelophylla,800-899,2300-2399
Alchornea costaricensis,N/A,N/A
Alchornea floribunda,800-899,800-899
Alchornea glandulosa,200-299,2400-2499
Alchornea grandiflora,800-899,2500-2599
Alchornea grandis,600-699,2000-2099
Alchornea latifolia,500-599,2800-2899
Alchornea megalophylla,800-899,800-899
Alchornea pearcei,1800-1899,1800-1899
Alchornea triplinervia,100-199,3900-3999
Alchornea verticillata,N/A,N/A
Alchorneopsis floribunda,300-399,700-799
Alfaroa colombiana,1500-1599,1900-1999
Alfaroa williamsii,N/A,N/A
Alibertia bertierifolia,700-799,700-799
Allophylus amazonicus,100-199,700-799
Allophylus divaricatus,N/A,N/A
Allophylus dodsonii,500-599,500-599
Allophylus edulis,N/A,N/A
Allophylus excelsus,600-699,2900-2999
Allophylus floribundus,300-399,2400-2499
Allophylus incanus,500-599,2600-2699
Allophylus pilosus,500-599,500-599
Allophylus psilospermus,N/A,N/A
Allophylus punctatus,700-799,700-799
Alnus acuminata,700-799,3500-3599
Alseis blackiana,N/A,N/A
Chrysophyllum venezuelanense,300-399,300-399
Ciliosemina pedunculata,200-299,1200-1299
Cinchona antioquiae,N/A,N/A
Cinchona calisaya,N/A,N/A
Cinchona macrocalyx,N/A,N/A
Cinchona officinalis,1800-1899,2100-2199
Cinchona pubescens,1100-1199,2900-2999
Cinchona pyrifolia,N/A,N/A
Cinchonopsis amazonica,100-199,700-799
Cissus trianae,1600-1699,2200-2299
Citharexylum gentryi,500-599,500-599
Citharexylum montanum,2500-2599,2500-2599
Citronella incarum,500-599,2800-2899
Citrus X aurantium,300-399,1800-1899
Citrus limon,200-299,1700-1799
Clarisia biflora,200-299,1900-1999
Clarisia racemosa,100-199,1200-1299
Clavija cauliflora,N/A,N/A
Clavija clavata,1800-1899,1800-1899
Clavija eggersiana,500-599,500-599
Clavija laplanadae,1400-1499,1800-1899
Clavija mezii,1400-1499,1400-1499
Clethra crispa,3500-3599,3500-3599
Clethra fagifolia,900-999,3400-3499
Clethra ferruginea,N/A,N/A
Clethra fimbriata,2500-2599,3600-3699
Clethra obovata,2200-2299,2200-2299
Clethra ovalifolia,2700-2799,3600-3699
Clethra pedicellaris,N/A,N/A
Clethra revoluta,2400-2499,3600-3699
Clethra scabra,N/A,N/A
Clitoria arborea,800-899,800-899
Clusia alata,1200-1299,2900-2999
Clusia candelabrum,100-199,100-199
Clusia colombiana,700-799,2600-2699
Clusia crenata,1300-1399,2000-2099
Clusia cuneifolia,2900-2999,2900-2999
Clusia decussata,700-799,2400-2499
Clusia dixonii,600-699,2000-2099
Clusia ducu,300-399,2200-2299
Clusia ducuoides,700-799,2700-2799
Clusia elliptica,2900-2999,3300-3399
Clusia flavida,100-199,800-899
Clusia hammeliana,100-199,1400-1499
Clusia haughtii,300-399,1800-1899
Clusia hydrogera,1800-1899,2600-2699
Clusia inesiana,700-799,700-799
Clusia lineata,300-399,2400-2499
