Species,Min Elevation Bracket,Max Elevation Bracket
Allophylus incanus,300-399,2400-2499
Allophylus loretensis,100-199,800-899
Allophylus pilosus,100-199,1000-1099
Allophylus psilospermus,100-199,1000-1099
Allophylus punctatus,200-299,2000-2099
Alnus acuminata,1500-1599,3900-3999
Chrysophyllum venezuelanense,100-199,1100-1199
Ciliosemina pedunculata,100-199,600-699
Cinchona macrocalyx,2100-2199,3200-3299
Cinchona officinalis,1300-1399,2900-2999
Cinchona pubescens,700-799,2700-2799
Cinchonopsis amazonica,100-199,600-699
Cissus trianae,1400-1499,2200-2299
Citharexylum gentryi,100-199,100-199
Citharexylum montanum,1600-1699,2000-2099
Citronella incarum,200-299,2700-2799
Citrus X aurantium,800-899,2800-2899
Citrus limon,1600-1699,1600-1699
Clarisia biflora,100-199,1700-1799
Clarisia racemosa,100-199,1300-1399
Clavija eggersiana,300-399,2000-2099
Clavija laplanadae,2000-2099,2000-2099
Clethra castaneifolia,1300-1399,1700-1799
Clethra crispa,3000-3099,3300-3399
Clethra cuneata,2600-2699,2600-2699
Clethra fagifolia,1000-1099,2400-2499
Clethra ferruginea,1700-1799,1700-1799
Clethra fimbriata,900-999,3400-3499
Clethra obovata,1700-1799,3100-3199
Clethra ovalifolia,1600-1699,3400-3499
Clethra pedicellaris,1400-1499,1600-1699
Clethra revoluta,1600-1699,3200-3299
Clethra scabra,2000-2099,2000-2099
Clitoria arborea,500-599,1300-1399
Clusia alata,1300-1399,2900-2999
Clusia articulata,N/A,N/A
Clusia candelabrum,N/A,N/A
Clusia crenata,1500-1599,2100-2199
Clusia cuneifolia,700-799,2000-2099
Clusia decussata,1000-1099,1900-1999
Clusia dixonii,700-799,1600-1699
Clusia ducu,1300-1399,2600-2699
Clusia ducuoides,500-599,2800-2899
Clusia elliptica,1600-1699,2900-2999
Clusia flavida,100-199,2100-2199
Clusia hammeliana,100-199,1300-1399
Clusia haughtii,300-399,900-999
Clusia hydrogera,1000-1099,2200-2299
Clusia lineata,100-199,2000-2099
Clusia minor,400-499,1700-1799
Clusia mocoensis,700-799,1900-1999
Clusia multiflora,600-699,3000-3099
Clusia octandra,100-199,1600-1699
Clusia palmicida,600-699,600-699
Clusia pavonii,N/A,N/A
Clusia penduliflora,100-199,1600-1699
Clusia pentandra,N/A,N/A
Clusia schomburgkiana,100-199,100-199
Clusia schultesii,300-399,1700-1799
Clusia sphaerocarpa,600-699,3000-3099
Clusia thurifera,1200-1299,2200-2299
Clusia trochiformis,600-699,1600-1699
Coccoloba acuminata,200-299,200-299
Coccoloba coronata,200-299,400-499
Coccoloba densifrons,100-199,1000-1099
Coccoloba excelsa,N/A,N/A
Coccoloba lehmannii,100-199,600-699
Coccoloba mollis,200-299,1100-1199
Coccoloba obovata,300-399,600-699
Coccoloba padiformis,N/A,N/A
Coccoloba peruviana,1300-1399,1900-1999
Cochlospermum orinocense,N/A,N/A
Coffea arabica,300-399,2300-2399
Colicodendron scabridum,1200-1299,1700-1799
Compsoneura mutisii,N/A,N/A
Conceveiba terminalis,100-199,100-199
Condalia weberbaueri,N/A,N/A
Condaminea corymbosa,300-399,2500-2599
Cordia alliodora,200-299,2200-2299
Cordia bicolor,N/A,N/A
Cordia bogotensis,700-799,700-799
Cordia dwyeri,600-699,600-699
Cordia lomatoloba,1000-1099,1000-1099
Cordia lutea,500-599,1300-1399
Cordia nodosa,100-199,1300-1399
Cordia panamensis,800-899,800-899
Cordia trichotoma,N/A,N/A
Cordia ucayaliensis,200-299,1900-1999
Cordiera myrciifolia,N/A,N/A
Cornus peruviana,1800-1899,3900-3999
Cornutia pyramidata,100-199,1900-1999
Cosmibuena grandiflora,400-499,1300-1399
Couepia bernardii,100-199,100-199
Couma macrocarpa,100-199,600-699
Couratari guianensis,100-199,300-399
Couroupita guianensis,200-299,600-699
Coussapoa contorta,500-599,1500-1599
Coussapoa crassivenosa,400-499,1700-1799
Coussapoa herthae,300-399,1000-1099
Coussapoa villosa,100-199,1900-1999
Coussarea ecuadorensis,400-499,1700-1799
Coussarea hirticalyx,400-499,800-899
Coussarea klugii,100-199,1100-1199
Coussarea latifolia,N/A,N/A
Coussarea macrocalyx,N/A,N/A
Coussarea paniculata,100-199,1400-1499
Coussarea tenuiflora,200-299,200-299
Coutarea hexandra,300-399,1000-1099
Crepidospermum rhoifolium,100-199,600-699
Critoniopsis floribunda,1700-1799,3100-3199
Critoniopsis occidentalis,1500-1599,2100-2199
Critoniopsis tungurahuae,2100-2199,2100-2199
Croton floccosus,600-699,2600-2699
Croton glabellus,N/A,N/A
Croton gossypiifolius,1000-1099,1000-1099
Croton killipianus,1300-1399,1300-1399
Croton lechleri,100-199,2300-2399
Croton mutisianus,1000-1099,2300-2399
Croton rimbachii,1700-1799,2500-2599
Croton sampatik,400-499,600-699
Croton schiedeanus,700-799,1700-1799
Croton smithianus,N/A,N/A
Croton tessmannii,200-299,1000-1099
Croton thurifer,2100-2199,2100-2199
Cuatresia cuspidata,400-499,1100-1199
Cuatresia riparia,100-199,2200-2299
Cupania americana,1100-1199,1100-1199
Cupania cinerea,100-199,1900-1999
Cupania latifolia,600-699,2000-2099
Cupania livida,200-299,200-299
Cupania rufescens,N/A,N/A
Cupania scrobiculata,N/A,N/A
Cyathea andina,N/A,N/A
Cyathea bipinnatifida,500-599,2200-2299
Cyathea brunnescens,700-799,700-799
Cyathea caracasana,1300-1399,3100-3199
Cyathea carolihenrici,2000-2099,2700-2799
Cyathea catacampta,N/A,N/A
Cyathea conjugata,1200-1299,2100-2199
Cyathea corallifera,N/A,N/A
Cyathea crenata,1600-1699,2100-2199
Cyathea cystolepis,N/A,N/A
Cyathea delgadii,700-799,2800-2899
Cyathea divergens,1400-1499,1400-1499
Cyathea frigida,2800-2899,3400-3499
Cyathea frondosa,2900-2999,3100-3199
Cyathea fulva,2000-2099,3600-3699
Cyathea kalbreyeri,1000-1099,1400-1499
Cyathea lechleri,1000-1099,2100-2199
Cyathea lindeniana,N/A,N/A
Cyathea meridensis,1900-1999,3000-3099
Cyathea moranii,N/A,N/A
Cyathea multiflora,500-599,2000-2099
Cyathea nigripes,500-599,1400-1499
Cyathea obnoxia,2100-2199,2200-2299
Cyathea pallescens,1200-1299,2900-2999
Cyathea pauciflora,1300-1399,1300-1399
Cyathea pilosissima,100-199,1700-1799
Cyathea planadae,1000-1099,2200-2299
Cyathea pungens,100-199,1600-1699
Cyathea squamipes,1000-1099,2600-2699
Cyathea straminea,2800-2899,3200-3299
Cyathostegia mathewsii,1000-1099,2200-2299
Cybianthus fosteri,N/A,N/A
Cybianthus humilis,700-799,1300-1399
Cybianthus marginatus,1100-1199,3200-3299
Cybianthus pastensis,1900-1999,3200-3299
Cybianthus peruvianus,100-199,1400-1499
Cybianthus poeppigii,400-499,1600-1699
Cybianthus schlimii,500-599,1000-1099
Cybianthus venezuelanus,600-699,2000-2099
Cynometra bauhiniifolia,100-199,100-199
Cynophalla flexuosa,600-699,1500-1599
Dacryodes acuptipyrena,700-799,700-799
Dacryodes belemensis,500-599,500-599
Dacryodes cupularis,700-799,1300-1399
Dacryodes peruviana,200-299,1400-1499
Daphnopsis equatorialis,400-499,2000-2099
Delostoma integrifolium,1100-1199,3300-3399
Dendrobangia boliviana,100-199,1400-1499
Dendropanax arboreus,100-199,1600-1699
Dendropanax caucanus,200-299,1400-1499
Dendropanax cuneatus,100-199,100-199
Dendropanax macrocarpus,1000-1099,1000-1099
Dendropanax macrophyllus,1900-1999,1900-1999
Dendropanax umbellatus,100-199,100-199
Dendrophorbium lloense,1500-1599,3700-3799
Dendrophorbium tipocochense,1500-1599,3700-3799
Deprea subtriflora,3000-3099,3000-3099
Dialium guianense,100-199,500-599
Dicksonia karsteniana,2000-2099,2000-2099
Dicksonia sellowiana,600-699,3300-3399
Dictyocaryum lamarckianum,500-599,1700-1799
Dictyoloma vandellianum,600-699,1000-1099
Dieffenbachia seguine,100-199,1000-1099
Dimorphandra macrostachya,100-199,100-199
Dioicodendron dioicum,1400-1499,3000-3099
Diospyros artanthifolia,100-199,600-699
Diploon cuspidatum,N/A,N/A
Diplotropis martiusii,100-199,100-199
Discophora guianensis,100-199,1000-1099
Doliocarpus dentatus,100-199,800-899
Drimys granadensis,1400-1499,3000-3099
Drypetes amazonica,100-199,1000-1099
Duguetia hadrantha,100-199,700-799
Duguetia surinamensis,200-299,200-299
Dunalia solanacea,1300-1399,3200-3299
Duranta serratifolia,N/A,N/A
Duroia hirsuta,100-199,1100-1199
Duroia laevis,800-899,800-899
Dussia lehmannii,500-599,1000-1099
Dussia macroprophyllata,N/A,N/A
Dussia tessmannii,200-299,2200-2299
Dystovomita paniculata,400-499,1600-1699
Ecclinusa lanceolata,100-199,500-599
Ecclinusa ramiflora,100-199,400-499
Elaeagia ecuadorensis,1900-1999,2700-2799
Elaeagia karstenii,600-699,2700-2799
Elaeagia mariae,500-599,2100-2199
Elaeagia myriantha,800-899,2000-2099
Elaeagia pastoensis,600-699,2100-2199
Elaeagia utilis,700-799,2600-2699
Elaeoluma glabrescens,100-199,200-299
Endlicheria formosa,100-199,2200-2299
Endlicheria gracilis,400-499,500-599
Endlicheria griseo-sericea,600-699,2200-2299
Endlicheria griseosericea,600-699,2200-2299
Endlicheria krukovii,100-199,1000-1099
Endlicheria lorastemon,500-599,1400-1499
Endlicheria macrophylla,N/A,N/A
Endlicheria metallica,200-299,1700-1799
Endlicheria oreocola,1000-1099,2400-2499
Endlicheria pyriformis,100-199,1400-1499
Endlicheria sericea,200-299,2200-2299
Endlicheria tessmannii,200-299,500-599
Endlicheria tschudyana,N/A,N/A
Entada gigas,500-599,700-799
Enterolobium cyclocarpum,500-599,500-599
Enterolobium schomburgkii,N/A,N/A
Eriotheca globosa,N/A,N/A
Eriotheca macrophylla,100-199,200-299
Eriotheca ruizii,600-699,1700-1799
Erythrina amazonica,200-299,1000-1099
Erythrina berteroana,N/A,N/A
Erythrina edulis,500-599,3000-3099
Erythrina poeppigiana,200-299,1400-1499
Erythrina ulei,400-499,1000-1099
Erythrina velutina,1100-1199,1100-1199
Erythroxylum citrifolium,100-199,2200-2299
Erythroxylum gracilipes,100-199,1400-1499
Erythroxylum macrophyllum,100-199,2200-2299
Erythroxylum squamatum,500-599,2000-2099
Escallonia myrtilloides,1700-1799,3900-3999
Escallonia paniculata,1600-1699,2900-2999
Escallonia pendula,2200-2299,3200-3299
Eschweilera albiflora,100-199,100-199
Eschweilera andina,100-199,1900-1999
Eschweilera antioquensis,400-499,400-499
Eschweilera baguensis,1000-1099,2100-2199
Eschweilera bracteosa,100-199,300-399
Eschweilera caudiculata,400-499,2000-2099
Eschweilera coriacea,100-199,2100-2199
Eschweilera rimbachii,300-399,1200-1299
Eschweilera sessilis,2200-2299,2300-2399
Eschweilera tenax,N/A,N/A
Espostoa lanata,900-999,1900-1999
Eugenia anastomosans,300-399,500-599
Eugenia biflora,300-399,1700-1799
Eugenia crassimarginata,500-599,2300-2399
Eugenia dittocrepis,1000-1099,1000-1099
Eugenia egensis,100-199,2000-2099
Eugenia feijoi,100-199,800-899
Eugenia florida,100-199,2400-2499
Eugenia limbosa,N/A,N/A
Eugenia muricata,100-199,800-899
Eugenia oerstediana,700-799,700-799
Euphorbia arenaria,1300-1399,1300-1399
Euterpe precatoria,100-199,1900-1999
Faramea ampla,N/A,N/A
Faramea anisocalyx,100-199,1000-1099
Faramea bangii,1200-1299,2200-2299
Faramea calyptrata,1400-1499,2200-2299
Faramea candelabrum,N/A,N/A
Faramea capillipes,100-199,900-999
Faramea eurycarpa,900-999,900-999
Faramea exemplaris,400-499,1500-1599
Faramea fragrans,600-699,600-699
Faramea jasminoides,1200-1299,2600-2699
Faramea langlassei,600-699,1400-1499
Faramea multiflora,100-199,1500-1599
Faramea oblongifolia,600-699,2000-2099
Faramea occidentalis,300-399,800-899
Faramea parvibractea,400-499,1600-1699
Faramea quinqueflora,100-199,2100-2199
Faramea torquata,100-199,800-899
Ferdinandusa chlorantha,100-199,1900-1999
Ferdinandusa guainiae,1300-1399,1600-1699
Ferdinandusa loretensis,100-199,1000-1099
Ficus americana,100-199,2200-2299
Ficus apollinaris,400-499,1000-1099
Ficus brevibracteata,600-699,2000-2099
Ficus carchiana,500-599,600-699
Ficus casapiensis,N/A,N/A
Ficus cervantesiana,600-699,2200-2299
Ficus citrifolia,100-199,2200-2299
Ficus coerulescens,800-899,800-899
Ficus crassiuscula,N/A,N/A
Ficus crocata,1000-1099,1000-1099
Ficus cuatrecasana,500-599,2300-2399
Ficus cuatrecasasiana,400-499,2400-2499
Ficus donnell-smithii,200-299,800-899
Ficus dulciaria,2200-2299,2300-2399
Ficus eximia,N/A,N/A
Ficus gigantosyce,2100-2199,2400-2499
Ficus gomelleira,400-499,700-799
Ficus guianensis,100-199,1600-1699
Ficus hartwegii,1300-1399,1300-1399
Ficus insipida,100-199,1400-1499
Ficus krukovii,100-199,1400-1499
Ficus lacunata,1700-1799,1700-1799
Ficus macbridei,100-199,1300-1399
Ficus maroma,1200-1299,1600-1699
Ficus mathewsii,100-199,400-499
Ficus maxima,100-199,1800-1899
Ficus mutisii,500-599,2000-2099
Ficus obtusifolia,100-199,2000-2099
Ficus paraensis,100-199,1700-1799
Ficus pertusa,100-199,2100-2199
Ficus popenoei,N/A,N/A
Ficus schippii,100-199,1800-1899
Ficus tonduzii,200-299,2200-2299
Ficus trapezicola,800-899,2100-2199
Ficus trianae,700-799,700-799
Ficus trigona,100-199,1700-1799
Frangula granulosa,1600-1699,3000-3099
Frangula sphaerosperma,1400-1499,2200-2299
Freziera canescens,2600-2699,3700-3799
Freziera karsteniana,1700-1799,2900-2999
Freziera reticulata,2000-2099,2800-2899
Freziera verrucosa,700-799,3000-3099
Fusaea longifolia,100-199,500-599
Gaiadendron punctatum,600-699,3700-3799
Gallesia integrifolia,N/A,N/A
Garcinia intermedia,N/A,N/A
Garcinia macrophylla,100-199,1700-1799
Garcinia madruno,100-199,1000-1099
Geissanthus ambigua,800-899,2600-2699
Geissanthus andinus,1900-1999,3600-3699
Alsophila cuspidata,100-199,1100-1199
Alsophila engelii,1100-1199,2700-2799
Alsophila erinacea,600-699,2200-2299
Alsophila incana,2200-2299,2200-2299
Alzatea verticillata,1200-1299,2200-2299
Amaioua guianensis,500-599,500-599
Amanoa oblongifolia,N/A,N/A
Ampelocera edentula,100-199,1100-1199
Ampelocera longissima,200-299,1200-1299
Ampelocera ruizii,N/A,N/A
Amphirrhox longifolia,600-699,600-699
Anacardium excelsum,N/A,N/A
Anacardium giganteum,800-899,800-899
Anacardium occidentale,N/A,N/A
Anadenanthera colubrina,800-899,2100-2199
Anadenanthera columbrina,800-899,2100-2199
Anaxagorea brevipes,100-199,500-599
Andira inermis,100-199,600-699
Andira multistipula,100-199,500-599
Andira surinamensis,500-599,500-599
Andira taurotesticulata,N/A,N/A
Aniba coto,1100-1199,2200-2299
Aniba hostmanniana,200-299,2100-2199
Aniba muca,900-999,2500-2599
Aniba panurensis,200-299,2000-2099
Aniba perutilis,100-199,2200-2299
Aniba puchury-minor,400-499,600-699
Aniba riparia,200-299,2200-2299
Aniba robusta,N/A,N/A
Annona amazonica,600-699,600-699
Annona ambotay,100-199,1100-1199
Annona andicola,600-699,2000-2099
Annona cherimola,1400-1499,2600-2699
Annona cuspidata,100-199,200-299
Annona deceptrix,100-199,600-699
Geissanthus bogotensis,N/A,N/A
Geissanthus ecuadorensis,1000-1099,3000-3099
Geissanthus longistamineus,200-299,1600-1699
Geissanthus occidentalis,N/A,N/A
Geissanthus pichinchae,700-799,3000-3099
Geissanthus vanderwerffii,1300-1399,2900-2999
Genipa americana,100-199,1700-1799
Geoffroea spinosa,600-699,1400-1499
Geonoma deversa,100-199,1200-1299
Geonoma orbignyana,600-699,2900-2999
Geonoma undata,500-599,3000-3099
Gloeospermum longifolium,100-199,2200-2299
Gloeospermum sphaerocarpum,100-199,1000-1099
Glossoloma tetragonoides,500-599,2900-2999
Gonzalagunia cornifolia,300-399,1900-1999
Gonzalagunia dicocca,500-599,1000-1099
Gordonia fruticosa,700-799,3100-3199
Goupia glabra,100-199,100-199
Graffenrieda cucullata,700-799,2100-2199
Graffenrieda emarginata,1100-1199,2700-2799
Graffenrieda galeottii,400-499,2100-2199
Graffenrieda gracilis,200-299,1000-1099
Graffenrieda intermedia,800-899,1700-1799
Grias peruviana,100-199,2100-2199
Grosvenoria rimbachii,3000-3099,3600-3699
Guapira noxia,N/A,N/A
Guapira opposita,400-499,400-499
Guarea cartaguenya,500-599,900-999
Guarea glabra,100-199,1700-1799
Guarea gomma,100-199,1000-1099
Guarea grandifolia,100-199,1300-1399
Guarea guidonia,100-199,1900-1999
Guarea kunthiana,100-199,2700-2799
Guarea macrophylla,100-199,1300-1399
Guarea pterorhachis,100-199,1400-1499
Guarea purusana,100-199,1700-1799
Guarea silvatica,100-199,1500-1599
Guarea subandina,1000-1099,2200-2299
Guatteria asplundiana,1200-1299,1600-1699
Guatteria blepharophylla,100-199,1600-1699
Guatteria boliviana,600-699,700-799
Guatteria cargadero,1000-1099,1000-1099
Guatteria duodecima,300-399,1400-1499
Guatteria glauca,1000-1099,2100-2199
Guatteria goudotiana,1400-1499,1400-1499
Guatteria hirsuta,100-199,2000-2099
Guatteria megalophylla,100-199,2100-2199
Guatteria oblongifolia,900-999,1900-1999
Guatteria pichinchae,600-699,600-699
Guatteria pittieri,700-799,700-799
Guatteria punctata,200-299,2200-2299
Guatteria recurvisepala,200-299,1600-1699
Guatteria schomburgkiana,100-199,600-699
Guatteria sodiroi,1000-1099,1000-1099
Guatteria venosa,600-699,1600-1699
Guazuma ulmifolia,200-299,1400-1499
Guettarda aromatica,200-299,800-899
Guettarda crispiflora,400-499,2200-2299
Guettarda dependens,1600-1699,2700-2799
Guettarda sanblasensis,300-399,700-799
Guettarda tournefortiopsis,N/A,N/A
Gustavia hexapetala,100-199,800-899
Gustavia poeppigiana,N/A,N/A
Gustavia speciosa,500-599,700-799
Gynoxys nitida,N/A,N/A
Handroanthus chrysanthus,200-299,2200-2299
Handroanthus impetiginosus,2200-2299,2200-2299
Handroanthus obscurus,200-299,200-299
Handroanthus ochraceus,400-499,400-499
Handroanthus serratifolius,800-899,800-899
Hasseltia floribunda,100-199,2200-2299
Hasseltia lateriflora,800-899,800-899
Haydenoxylon gentryi,1000-1099,2400-2499
Hebepetalum humiriifolium,100-199,500-599
Hedyosmum angustifolium,900-999,2100-2199
Hedyosmum anisodorum,800-899,2700-2799
Hedyosmum cuatrecazanum,1500-1599,3100-3199
Hedyosmum cumbalense,2900-2999,3900-3999
Hedyosmum dombeyanum,3000-3099,3000-3099
Hedyosmum goudotianum,1300-1399,2900-2999
Hedyosmum luteynii,1100-1199,3300-3399
Hedyosmum racemosum,700-799,3100-3199
Hedyosmum scaberrimum,1000-1099,1000-1099
Hedyosmum scabrum,1700-1799,3200-3299
Hedyosmum sprucei,300-399,3000-3099
Hedyosmum translucidum,2100-2199,3200-3299
Heisteria acuminata,100-199,2200-2299
Heisteria asplundii,600-699,1500-1599
Heisteria duckei,100-199,300-399
Heisteria latifolia,300-399,1100-1199
Heisteria nitida,200-299,1300-1399
Heisteria pacifica,N/A,N/A
Heliconia nigripraefixa,500-599,1000-1099
Helicostylis elegans,200-299,200-299
Helicostylis scabra,100-199,1000-1099
Helicostylis tomentosa,100-199,1700-1799
Helicostylis tovarensis,600-699,2300-2399
Heliocarpus americanus,200-299,2300-2399
Henriettea fissanthera,N/A,N/A
Henriettea verrucosa,300-399,1100-1199
Herrania balaensis,600-699,800-899
Herrania purpurea,N/A,N/A
Hesperomeles ferruginea,2100-2199,4000-4099
Hesperomeles obtusifolia,1700-1799,4000-4099
Hevea guianensis,100-199,1000-1099
Hieronyma alchorneoides,100-199,2100-2199
Hieronyma asperifolia,1000-1099,2300-2399
Hieronyma duquei,700-799,2400-2499
Hieronyma fendleri,1000-1099,2900-2999
Hieronyma macrocarpa,1100-1199,2900-2999
Hieronyma oblonga,100-199,2200-2299
Hieronyma scabrida,800-899,2100-2199
Hillia parasitica,600-699,2200-2299
Himatanthus articulatus,100-199,1300-1399
Hippotis albiflora,600-699,800-899
Hippotis brevipes,100-199,2200-2299
Hirtella bicornis,200-299,800-899
Hirtella eriandra,100-199,500-599
Hirtella macrophylla,400-499,500-599
Hirtella mutisii,100-199,700-799
Hirtella pilosissima,200-299,400-499
Hirtella racemosa,100-199,1400-1499
Hirtella triandra,100-199,1200-1299
Hoffmannia longipetiolata,500-599,2000-2099
Hortia brasiliana,1400-1499,1900-1999
Huberodendron patinoi,N/A,N/A
Huertea glandulosa,100-199,2300-2399
Humiriastrum mapiriense,1000-1099,1600-1699
Hura crepitans,500-599,900-999
Hydrangea jelskii,N/A,N/A
Hymenaea courbaril,100-199,700-799
Hymenaea oblongifolia,100-199,500-599
Hymenopus heteromorphus,100-199,1500-1599
Hyospathe elegans,100-199,2200-2299
Hyptidendron arboreum,1700-1799,2000-2099
Idiopappus saloyensis,2900-2999,3100-3199
Ilex andicola,1600-1699,3100-3199
Ilex gabrielleana,500-599,1600-1699
Ilex guayusa,100-199,2600-2699
Ilex hippocrateoides,2000-2099,2800-2899
Ilex hualgayoca,2100-2199,3000-3099
Ilex laurina,1600-1699,2500-2599
Ilex myricoides,2200-2299,3400-3499
Ilex nervosa,1200-1299,2500-2599
Ilex rupicola,2100-2199,3700-3799
Ilex teratopis,1300-1399,2900-2999
Ilex villosula,1600-1699,1600-1699
Incadendron esseri,1500-1599,1800-1899
Inga acreana,100-199,2100-2199
Inga acrocephala,300-399,1400-1499
Inga acuminata,300-399,500-599
Inga alba,100-199,1600-1699
Inga auristellae,100-199,500-599
Inga bourgonii,100-199,1600-1699
Inga capitata,100-199,1500-1599
Inga chartacea,100-199,1500-1599
Inga cinnamomea,100-199,1000-1099
Inga cocleensis,1400-1499,1400-1499
Inga cordatoalata,100-199,400-499
Inga coruscans,100-199,1900-1999
Inga densiflora,300-399,2000-2099
Inga edulis,100-199,1600-1699
Inga fendleriana,1600-1699,2100-2199
Inga feuillei,1000-1099,2100-2199
Inga glomeriflora,1400-1499,1400-1499
Inga heterophylla,200-299,900-999
Inga killipiana,N/A,N/A
Inga lallensis,800-899,3000-3099
Inga laurina,100-199,2100-2199
Inga lopadadenia,500-599,500-599
Inga macrophylla,100-199,1000-1099
Inga marginata,100-199,2400-2499
Inga multicaulis,700-799,1500-1599
Inga multijuga,100-199,1900-1999
Inga multinervis,200-299,1400-1499
Inga nobilis,100-199,2100-2199
Inga oerstediana,100-199,1800-1899
Inga pezizifera,100-199,100-199
Inga pruriens,100-199,800-899
Inga punctata,100-199,1900-1999
Inga ruiziana,100-199,2100-2199
Inga sapindoides,200-299,1700-1799
Inga sertulifera,100-199,1400-1499
Inga setosa,N/A,N/A
Inga sierrae,N/A,N/A
Inga silanchensis,400-499,2000-2099
Inga spectabilis,200-299,2200-2299
Inga stenoptera,100-199,1300-1399
Inga striata,500-599,2100-2199
Inga thibaudiana,200-299,1000-1099
Inga tomentosa,1500-1599,1500-1599
Inga umbellifera,100-199,1000-1099
Inga velutina,100-199,1900-1999
Inga venusta,100-199,500-599
Inga vera,400-499,600-699
Inga villosissima,600-699,2100-2199
Iochroma calycinum,1500-1599,2900-2999
Iochroma grandiflorum,2700-2799,2700-2799
Iriartea deltoidea,100-199,1900-1999
Iryanthera hostmannii,100-199,300-399
Iryanthera juruensis,100-199,1100-1199
Iryanthera lancifolia,100-199,900-999
Iryanthera olacoides,N/A,N/A
Iryanthera paraensis,100-199,400-499
Iryanthera ulei,100-199,700-799
Isertia laevis,100-199,2100-2199
Ixora panurensis,100-199,1700-1799
Jacaranda copaia,100-199,1200-1299
Jacaranda glabra,100-199,800-899
Jacaranda hesperia,1700-1799,1700-1799
Jacaranda macrocarpa,600-699,600-699
Jacaranda mimosifolia,1400-1499,2800-2899
Jacaranda obtusifolia,100-199,100-199
Jacaratia digitata,100-199,1600-1699
Joosia aequatoria,1800-1899,2400-2499
Joosia umbellifera,400-499,1400-1499
Juglans neotropica,1200-1299,3000-3099
Kotchubaea sericantha,100-199,500-599
Lacistema aggregatum,100-199,1300-1399
Lacistema nena,100-199,1000-1099
Lacmellea edulis,100-199,1700-1799
Lacunaria crenata,200-299,200-299
Ladenbergia heterophylla,1300-1399,2200-2299
Ladenbergia macrocarpa,1300-1399,2500-2599
Ladenbergia muzonensis,500-599,1400-1499
Ladenbergia oblongifolia,600-699,2700-2799
Ladenbergia riveroana,900-999,1800-1899
Lafoensia acuminata,1000-1099,2200-2299
Lecointea amazonica,N/A,N/A
Lecythis ampla,N/A,N/A
Leonia crassa,100-199,1000-1099
Leonia glycycarpa,100-199,1300-1399
Leonia occidentalis,200-299,1000-1099
Leonia triandra,N/A,N/A
Leucaena trichodes,400-499,1700-1799
Licania canescens,500-599,500-599
Licania harlingii,200-299,1000-1099
Licania hypoleuca,100-199,800-899
Licania incana,N/A,N/A
Licania micrantha,100-199,200-299
Licania octandra,N/A,N/A
Licaria applanata,500-599,2400-2499
Licaria canella,100-199,2100-2199
Licaria cannella,100-199,2100-2199
Licaria pucheri,1900-1999,1900-1999
Licaria triandra,200-299,1700-1799
Lindackeria paludosa,100-199,700-799
Lippia americana,1600-1699,1600-1699
Lippia hirsuta,N/A,N/A
Lissocarpa uyat,600-699,1000-1099
Lomatia hirsuta,2100-2199,3400-3499
Lonchocarpus sericeus,N/A,N/A
Loxopterygium huasango,800-899,2200-2299
Lozanella enantiophylla,1000-1099,3000-3099
Lozania mutisiana,600-699,2000-2099
